CID,Community,DOI_d,DOI_m,DOI_y,D_ID,D_Name,EndTime_hrs,EndTime_mins,FID,Language 1,Language 2,Language 3,M_ID,P_ID,P_Name,StartTime_hrs,StartTime_mins,Survey_Round,T_ID,T_Name,UC_ID,UC_Name
101010101.0,1.0,64.0,13.0,6039.0,3.0,KASUR,11.0,10.0,1010101011.0,2.0,2.0,-99.0,2.0,3.0,PUNJAB,10.0,35.0,1.0,3.0,"CHUNIAN, CHUNIAN TEHSIL",3.0,"LUNDEY, LUNDEY UC"
101010202.0,2.0,35.0,14.0,6039.0,3.0,KASUR,11.0,15.0,1010102022.0,2.0,4.0,-99.0,4.0,3.0,PUNJAB,10.0,8.0,1.0,3.0,"CHUNIAN, CHUNIAN TEHSIL",6.0,"MOKAL, MOKAL UC"
101010203.0,3.0,19.0,15.0,6039.0,3.0,KASUR,18.0,55.0,1010102033.0,2.0,4.0,-99.0,6.0,3.0,PUNJAB,18.0,10.0,1.0,3.0,"CHUNIAN, CHUNIAN TEHSIL",6.0,"MOKAL, MOKAL UC"
101020304.0,4.0,36.0,15.0,6039.0,3.0,KASUR,11.0,25.0,1010203044.0,2.0,4.0,-99.0,8.0,3.0,PUNJAB,9.0,55.0,1.0,6.0,"PATTOKI, PATTOKI TEHSIL",9.0,CHAK NO 027
102030405.0,1.0,72.0,12.0,6039.0,6.0,BHAKKAR,17.0,40.0,1020304051.0,4.0,4.0,14.0,10.0,3.0,PUNJAB,16.0,10.0,1.0,9.0,"BHAKKAR, BHAKKAR TEHSIL",12.0,"NOTAK, NOTAK UC"
102030506.0,2.0,61.0,13.0,6039.0,6.0,BHAKKAR,13.0,30.0,1020305062.0,6.0,2.0,2.0,12.0,3.0,PUNJAB,12.0,17.0,1.0,9.0,"BHAKKAR, BHAKKAR TEHSIL",15.0,"CHAK NO 061 ML, CHAK NO 061/ML UC"
102030607.0,3.0,28.0,15.0,6039.0,6.0,BHAKKAR,17.0,27.0,1020306073.0,6.0,2.0,9.0,14.0,3.0,PUNJAB,16.0,29.0,1.0,9.0,"BHAKKAR, BHAKKAR TEHSIL",18.0,"KHANSUR, KHANSAR UC"
102040708.0,4.0,38.0,15.0,6039.0,6.0,BHAKKAR,15.0,40.0,1020407084.0,6.0,4.0,1.0,16.0,3.0,PUNJAB,14.0,23.0,1.0,12.0,"DARYA KHAN, DARYA KHAN TEHSIL",21.0,"BARANGA, BARRANGA UC"
103050809.0,1.0,47.0,14.0,6039.0,9.0,KHANEWAL,10.0,14.0,1030508091.0,2.0,5.0,12.0,18.0,3.0,PUNJAB,9.0,34.0,1.0,15.0,"KHANEWAL, KHANEWAL TEHSIL",24.0,"BHIRU WAL, BHIRU WAL UC"
103060910.0,2.0,46.0,15.0,6039.0,9.0,KHANEWAL,11.0,30.0,1030609102.0,2.0,11.0,5.0,20.0,3.0,PUNJAB,10.0,15.0,1.0,18.0,"MIAN CHANNU, MIAN CHAINNU, MIAN CHANNU TEHSIL",27.0,"137/I6L, CHAK NO 137/16-L UC"
103061011.0,3.0,68.0,12.0,6039.0,9.0,KHANEWAL,17.0,10.0,1030610113.0,2.0,8.0,-90.0,22.0,3.0,PUNJAB,14.0,20.0,1.0,18.0,"MIAN CHANNU, MIAN CHANNU TEHSIL",30.0,"ROTLA, ROTLA UC"
103071112.0,4.0,33.0,15.0,6039.0,9.0,KHANEWAL,7.0,0.0,1030711124.0,14.0,2.0,6.0,24.0,3.0,PUNJAB,6.0,30.0,1.0,21.0,"JAHANIAN, JAHNLAN, JAHANIAN TEHSIL",33.0,"053/10-R, 055/10-R UC"
104081213.0,1.0,80.0,12.0,6039.0,12.0,ATTOCK,13.0,20.0,1040812131.0,6.0,-95.0,7.0,26.0,3.0,PUNJAB,11.0,12.0,1.0,24.0,"ATTOCK, HAZRO, ATTOCK TEHSIL",36.0,"BAHADUR KHAN, BAHADUR KHAN UC"
104081314.0,2.0,33.0,14.0,6039.0,12.0,ATTOCK,9.0,35.0,1040813142.0,2.0,-97.0,7.0,28.0,3.0,PUNJAB,8.0,40.0,1.0,24.0,"ATTOCK, ATTOCK TEHSIL",39.0,"KAMRA, KAMRA UC"
104081415.0,3.0,44.0,13.0,6039.0,12.0,ATTOCK,11.0,45.0,1040814153.0,6.0,-98.0,7.0,30.0,3.0,PUNJAB,10.0,30.0,1.0,24.0,"ATTOCK, HAZRO, ATTOCK TEHSIL",42.0,"SHAMS ABAD, SHAMSABAD UC"
104091516.0,4.0,36.0,14.0,6039.0,12.0,ATTOCK,12.0,50.0,1040915164.0,2.0,-94.0,2.0,32.0,3.0,PUNJAB,11.0,40.0,1.0,27.0,"FATEH JANH, FATEH JHANG, FATEH JANG TEHSIL",45.0,"QUTBAL, QUTBAL UC"
105101617.0,1.0,69.0,12.0,6039.0,15.0,VEHARI,16.0,55.0,1051016171.0,6.0,2.0,-97.0,34.0,3.0,PUNJAB,16.0,20.0,1.0,30.0,"MAILSI, MAILSI TEHSIL",48.0,"FADDA, FADDA UC"
105101718.0,2.0,60.0,13.0,6039.0,15.0,VEHARI,13.0,0.0,1051017182.0,6.0,1.0,-99.0,36.0,3.0,PUNJAB,11.0,30.0,1.0,30.0,"MAILSI, MAILSI TEHSIL",51.0,"FATEH PUR, FATEH PUR UC"
105111819.0,3.0,23.0,15.0,6039.0,15.0,VEHARI,12.0,25.0,1051118193.0,2.0,-99.0,0.0,38.0,3.0,PUNJAB,11.0,10.0,1.0,33.0,"VEHARI, VEHARI TEHSIL",54.0,"CHAK 166 EB, CHAK 166/E.B UC"
105121920.0,4.0,43.0,15.0,6039.0,15.0,VEHARI,15.0,55.0,1051219204.0,2.0,-97.0,0.0,40.0,3.0,PUNJAB,15.0,10.0,1.0,36.0,"BUREWALA, BURAY WALA, BUREWALA TEHSIL",57.0,"495 EB, 495/E.B UC"
106132021.0,1.0,54.0,14.0,6039.0,18.0,JHANG,13.0,45.0,1061320211.0,2.0,-97.0,0.0,42.0,3.0,PUNJAB,13.0,10.0,1.0,39.0,"SHORKOT, SHORKOT TEHSIL",60.0,"BINDA SURBANA, BINDA SURBANA UC"
106132122.0,2.0,27.0,15.0,6039.0,18.0,JHANG,11.0,45.0,1061321222.0,2.0,-97.0,0.0,44.0,3.0,PUNJAB,11.0,0.0,1.0,39.0,"SHORKOT, SHORKOT TEHSIL",63.0,"GUDARA, GUDARA UC"
106142223.0,3.0,74.0,12.0,6039.0,18.0,JHANG,13.0,55.0,1061422233.0,2.0,-97.0,0.0,46.0,3.0,PUNJAB,12.0,36.0,1.0,42.0,"CHINIOT, CHINIOT TEHSIL",66.0,"DOSA, DOSA UC"
106142324.0,4.0,49.0,13.0,6039.0,18.0,JHANG,11.0,12.0,1061423244.0,2.0,-97.0,0.0,48.0,3.0,PUNJAB,9.0,40.0,1.0,42.0,"CHINIOT, ISHAZARI, CHINIOT TEHSIL",69.0,"KOT SHAKIR, KOT SHAKIR UC"
107152425.0,1.0,36.0,14.0,6039.0,21.0,"D G KHAN, DERA GHAZI KHAN",11.0,43.0,1071524251.0,6.0,10.0,10.0,50.0,3.0,PUNJAB,10.0,57.0,1.0,45.0,"D G KHAN, DERA GHAZI KHAN, DERA GHAZI KHAN TEHSIL",72.0,"CHOJI ZAREEN, CHOTI ZAREEN UC"
107152627.0,0.0,30.0,4.0,2013.0,7.0,DERA GHAZI KHAN,0.0,0.0,0.0,0.0,0.0,0.0,27.0,1.0,PUNJAB,0.0,0.0,0.0,15.0,DERA GHAZI KHAN,26.0,GADAI
107162526.0,2.0,41.0,15.0,6039.0,21.0,"D G KHAN, DERA GHAZI KHAN",11.0,5.0,1071625262.0,6.0,16.0,-97.0,52.0,3.0,PUNJAB,10.0,15.0,1.0,48.0,"DE EXCLUDED AREA, DERA GHAZI KHAN, D.G KHAN",75.0,"TUMAN LEGHARI, TUMAN LEGHARI UC"
107162627.0,3.0,11.0,4.0,2012.0,7.0,D G KHAN,11.0,27.0,1071626273.0,3.0,8.0,2.0,27.0,1.0,PUNJAB,10.0,14.0,1.0,16.0,DE EXCLUDED AREA,26.0,
107172728.0,4.0,36.0,8.0,4025.0,14.0,"D G KHAN, DERA GHAZI KHAN",14.0,50.0,1071727284.0,3.0,3.0,2.0,56.0,2.0,PUNJAB,13.0,55.0,1.0,34.0,TAUNSA,54.0,MORJHANGI
108182829.0,1.0,41.0,14.0,6039.0,24.0,BAHAWAL NAGAR,12.0,15.0,1081828291.0,2.0,4.0,-99.0,58.0,3.0,PUNJAB,11.0,10.0,1.0,54.0,"FORT ABBAS, FORTABBAS TEHSIL",84.0,"176 7R, CHAK NO 176/7-R UC"
108192930.0,2.0,69.0,12.0,6039.0,24.0,BAHAWAL NAGAR,11.0,35.0,1081929302.0,2.0,-99.0,0.0,60.0,3.0,PUNJAB,10.0,10.0,1.0,57.0,"BAHAWAL NAGAR, BAHAWALNAGAR TEHSIL",87.0,"BARA SAJAWAR KHAN, BARASAJWAR KHAN UC"
108203031.0,3.0,24.0,15.0,6039.0,24.0,BAHAWAL NAGAR,12.0,31.0,1082030313.0,2.0,4.0,-99.0,62.0,3.0,PUNJAB,11.0,44.0,1.0,60.0,"CHISHTIAN, CHISHTIAN TEHSIL",90.0,"128 MURAD, CHAK NO 128/MURAD UC"
108213132.0,4.0,57.0,13.0,6039.0,24.0,BAHAWAL NAGAR,16.0,50.0,1082131324.0,2.0,2.0,-99.0,64.0,3.0,PUNJAB,16.0,0.0,1.0,63.0,"MINCHIN ABAD, MINCHINABAD TEHSIL",93.0,"MANDI SADIQ GUNJ, MANDI SADIQ GUNJ UC"
109223233.0,1.0,49.0,14.0,6039.0,27.0,"RAHIMYAR KHAN, RAHIM YAR KHAN",11.0,50.0,1092232331.0,2.0,6.0,2.0,66.0,3.0,PUNJAB,10.0,48.0,1.0,66.0,"LIAQUAT PUR, LIAQUAT PUR TEHSIL",96.0,"CHACK 46 ABS, CHAK NO 046/ABS UC"
109223334.0,2.0,38.0,15.0,6039.0,27.0,"RAHIMYAR KHAN, RAHIM YAR KHAN",18.0,25.0,1092233342.0,6.0,3.0,3.0,68.0,3.0,PUNJAB,16.0,30.0,1.0,66.0,"LIAQUAT PUR, LIAQUAT PUR TEHSIL",99.0,"DASHTI, DASHTI UC"
109233435.0,3.0,55.0,13.0,6039.0,27.0,"RAHIMYAR KHAN, RAHIM YAR KHAN",11.0,5.0,1092334353.0,6.0,6.0,7.0,70.0,3.0,PUNJAB,10.0,15.0,1.0,69.0,"KHAN PUR, KHANPUR TEHSIL",102.0,"JETHA BHUJTA, JETHA BHUTTA UC"
109233536.0,4.0,48.0,13.0,6039.0,27.0,"RAHIMYAR KHAN, RAHIM YAR KHAN",11.0,50.0,1092335364.0,2.0,6.0,9.0,72.0,3.0,PUNJAB,11.0,6.0,1.0,69.0,"KHAN PUR, KHANPUR TEHSIL",105.0,"LATKI, LATKI UC"
110243637.0,1.0,44.0,14.0,6039.0,30.0,MULTAN,10.0,30.0,1102436371.0,6.0,3.0,-97.0,74.0,3.0,PUNJAB,9.0,45.0,1.0,72.0,"JALAL PUR PIRWALA, JALAL PUR PIR WALA, JALALPUR PIRWALA TEHSIL",108.0,"LAL WAH, LAL WAH UC"
110243738.0,2.0,36.0,14.0,6039.0,30.0,MULTAN,11.0,46.0,1102437382.0,6.0,-98.0,2.0,76.0,3.0,PUNJAB,10.0,50.0,1.0,72.0,"JALAL PUR PIRWALA, JALAL PUR PIR WALA, JALALPUR PIRWALA TEHSIL",111.0,"MIAN PUR BALEY WALA, MIAN PUR BAILEY WALA"
110243839.0,3.0,45.0,14.0,6039.0,30.0,MULTAN,15.0,6.0,1102438393.0,6.0,-97.0,1.0,78.0,3.0,PUNJAB,14.0,40.0,1.0,72.0,"JALAL PUR PIRWALA, JALAL PUR PIR WALA, JALALPUR PIRWALA TEHSIL",114.0,"GHAZI PUR, GHAZI PUR UC"
110253940.0,4.0,56.0,13.0,6039.0,30.0,MULTAN,10.0,40.0,1102539404.0,6.0,3.0,3.0,80.0,3.0,PUNJAB,10.0,15.0,1.0,75.0,"MULTAN SADDAR, MULTAN SADAR, MULTAN SADDAR TEHSIL",117.0,"BOTTEE WALA, BOOTE WALA UC"
111264041.0,1.0,67.0,13.0,6039.0,33.0,FAISALABAD,2.0,32.0,1112640411.0,2.0,-97.0,7.0,82.0,3.0,PUNJAB,2.0,6.0,1.0,78.0,"JARANWALA, JARANWALA TEHSIL",120.0,"CHAK NO 76RB, CHAK NO 076/R.B UC"
111274142.0,2.0,43.0,14.0,6039.0,33.0,FAISALABAD,16.0,18.0,1112741422.0,2.0,-97.0,0.0,84.0,3.0,PUNJAB,15.0,36.0,1.0,81.0,"SAMUNDARI, SAMMUNDRI TEHSIL",123.0,"CHAK 226 GB, CHAK NO 226/G.B UC"
111274243.0,3.0,66.0,13.0,6039.0,33.0,FAISALABAD,14.0,0.0,1112742433.0,2.0,-99.0,0.0,86.0,3.0,PUNJAB,13.0,10.0,1.0,81.0,"SAMUNDARI, SAMMUNDRI, SAMMUNDRI TEHSIL",126.0,"CHAK 042, CHAK NO 042/G.B UC"
111284344.0,4.0,42.0,15.0,6039.0,33.0,FAISALABAD,14.0,48.0,1112843444.0,18.0,-98.0,2.0,88.0,3.0,PUNJAB,13.0,35.0,1.0,84.0,"TANDLIAN WALA, TANDLIANWALA, TANDLIAN WALA TEHSIL",129.0,"CHAK 490 GB, CHAK NO 490/G.B UC"
112294445.0,1.0,34.0,15.0,6039.0,36.0,SARGODHA,15.0,10.0,1122944451.0,2.0,2.0,3.0,90.0,3.0,PUNJAB,14.0,15.0,1.0,87.0,"BHALWAL, BHALWAL TEHSIL",132.0,"GORNA, GORNA UC"
112304546.0,2.0,28.0,14.0,6039.0,36.0,SARGODHA,11.0,40.0,1123045462.0,2.0,4.0,-99.0,92.0,3.0,PUNJAB,10.0,35.0,1.0,90.0,"SHAH PUR, SHAHPUR TEHSIL",135.0,"AQIL SHAH, AQIL SHAH UC"
112304647.0,3.0,55.0,13.0,6039.0,36.0,SARGODHA,14.0,5.0,1123046473.0,2.0,2.0,-99.0,94.0,3.0,PUNJAB,12.0,33.0,1.0,90.0,"SHAH PUR, SHAHPUR TEHSIL",138.0,"SABOWAL, SABOWAL UC"
112314748.0,4.0,44.0,14.0,6039.0,36.0,SARGODHA,9.0,23.0,1123147484.0,2.0,4.0,-99.0,96.0,3.0,PUNJAB,8.0,10.0,1.0,93.0,"SILLAN WALI, SILLAWALI, SILLANWALI TEHSIL",141.0,"SHAEENABAD, SHAHEENABAD UC"
213324849.0,1.0,80.0,12.0,6039.0,39.0,THATTA,12.0,30.0,2133248491.0,12.0,10.0,3.0,98.0,6.0,SINDH,11.0,0.0,1.0,96.0,"MIR PUR SAKRO, MIRPUR SAKRO TALUKA",144.0,"GUJJO, GUJJO UC"
213324950.0,2.0,21.0,10.0,4026.0,26.0,THATTA,10.0,20.0,2133249502.0,12.0,8.0,2.0,50.0,4.0,SINDH,9.0,0.0,1.0,64.0,"MIR PUR SAKRO, MIRPUR SAKRO TALUKA",98.0,CHOUBANDI UC
213324952.0,3.0,13.0,15.0,6039.0,39.0,THATTA,14.0,25.0,2133249523.0,12.0,8.0,2.0,104.0,6.0,SINDH,13.0,0.0,1.0,96.0,"MIR PUR SAKRO, MIRPUR SAKRO TALUKA",147.0,"CHOUBANDI, CHOUBANDI UC"
213334950.0,0.0,3.0,5.0,2013.0,13.0,THATTA,0.0,0.0,0.0,0.0,0.0,0.0,50.0,2.0,SINDH,0.0,0.0,0.0,33.0,MIR PUR SAKRO,49.0,CHOUBANDI
213335051.0,4.0,38.0,14.0,6039.0,39.0,THATTA,13.0,20.0,2133351514.0,12.0,16.0,3.0,102.0,6.0,SINDH,12.0,30.0,1.0,99.0,"MIRPUR BATHORO, MIR PUR BATHORO, MIRPUR BATHORO TALUKA",150.0,"JHOKE SHARIF, JHOKE SHARIF UC"
214345253.0,1.0,61.0,13.0,6039.0,42.0,DADU,11.0,52.0,2143452531.0,12.0,3.0,-99.0,106.0,6.0,SINDH,11.0,14.0,1.0,102.0,"DADU, KHUDA ABAD, DADU TALUKA",156.0,"KHUDA ABAD, KHUDABAD UC"
214355354.0,2.0,29.0,9.0,4025.0,28.0,DADU,15.0,23.0,2143553542.0,6.0,3.0,0.0,108.0,4.0,SINDH,14.0,19.0,1.0,70.0,KOTRI,106.0,UNER PUR
214365455.0,3.0,32.0,14.0,6039.0,42.0,DADU,18.0,13.0,2143654553.0,16.0,12.0,-96.0,110.0,6.0,SINDH,16.0,10.0,1.0,108.0,"JOHI, JOHI TALUKA",162.0,"TANDO RAHIM KHAN, TANDO RAHIM KHAN UC"
214365556.0,0.0,7.0,5.0,2013.0,14.0,DADU,0.0,0.0,0.0,0.0,0.0,0.0,56.0,2.0,SINDH,0.0,0.0,0.0,36.0,K N SHAH,54.0,KANDAY CHUKI
214375556.0,4.0,22.0,10.0,4026.0,28.0,DADU,15.0,45.0,2143755564.0,9.0,9.0,-91.0,56.0,4.0,SINDH,15.0,10.0,1.0,74.0,"KHAIR PUR NATHAN SHAH, KHAIRPUR NATHAN SHAH TALU",110.0,KANDECHUKHI UC
215385657.0,1.0,36.0,15.0,6039.0,45.0,SANGHAR,12.0,40.0,2153856571.0,7.0,6.0,6.0,114.0,6.0,SINDH,11.0,30.0,1.0,114.0,"KHIPRO, KHIPRO TALUKA",168.0,"KHORI, KHORI UC"
215395758.0,2.0,63.0,13.0,6039.0,45.0,SANGHAR,12.0,23.0,2153957582.0,8.0,8.0,8.0,116.0,6.0,SINDH,11.0,17.0,1.0,117.0,"SANGHAR, SANGHAR TALUKA",171.0,"GUJRI, GUJRI UC"
215395859.0,3.0,43.0,14.0,6039.0,45.0,SANGHAR,16.0,5.0,2153958593.0,12.0,7.0,11.0,118.0,6.0,SINDH,15.0,10.0,1.0,117.0,"SANGHAR, SANGHAR TALUKA",174.0,"KANHAR, KANHAR UC"
215405960.0,4.0,27.0,15.0,6039.0,45.0,SANGHAR,14.0,0.0,2154059604.0,7.0,-93.0,0.0,120.0,6.0,SINDH,13.0,0.0,1.0,120.0,"SINJHORO, SINJHORO TALUKA",177.0,"JHOL, JHOL UC"
216416061.0,1.0,41.0,14.0,6039.0,48.0,"JACOBABAD, JACCOBABAD",9.0,15.0,2164160611.0,9.0,11.0,14.0,124.0,6.0,SINDH,8.0,10.0,1.0,123.0,"JACOBABAD, JACOBABAD TALUKA",182.0,"DHSTI, DASTI UC"
216416162.0,2.0,38.0,15.0,6039.0,48.0,"JACOBABAD, JALOBABAD, JACCOBABAD",14.0,45.0,2164161622.0,14.0,14.0,-99.0,124.0,6.0,SINDH,14.0,5.0,1.0,123.0,"JACOBABAD, JACOBABAD TALUKA",183.0,"AHMED PUR, AHMEDPUR UC"
216426263.0,3.0,58.0,14.0,6039.0,48.0,"JACOBABAD, JACCOBABAD",13.0,58.0,2164262633.0,12.0,8.0,-99.0,126.0,6.0,SINDH,13.0,10.0,1.0,126.0,"KASHMORE, KASHMOR, JACOBABAD TALUKA",186.0,"SODHI, SODHI UC"
216436364.0,4.0,22.0,15.0,6039.0,48.0,"JACOBABAD, JACOBABNAD, JACCOBABAD",12.0,50.0,2164363644.0,16.0,12.0,-99.0,128.0,6.0,"SINDH, SIDNH",12.0,10.0,1.0,129.0,"KANDHKOT, KANDHKOT TALUKA",189.0,"SAIFAL, SAIFAL UC"
217446465.0,1.0,70.0,13.0,6039.0,51.0,HYDERABAD,14.0,5.0,2174464651.0,12.0,2.0,-99.0,130.0,6.0,SINDH,13.0,21.0,1.0,132.0,"TANDO MUHAMMAD KHAN, TANDO M KHAN",192.0,CHOUDRO TC
217446566.0,2.0,33.0,14.0,6039.0,51.0,HYDERABAD,13.0,15.0,2174465662.0,9.0,9.0,-99.0,132.0,6.0,SINDH,12.0,0.0,1.0,132.0,"TANDO MUHAMMAD KHAN, TANDO M KHAN",195.0,"GHULAM SHAH MOYA, MOYA TC"
217446667.0,3.0,26.0,15.0,6039.0,51.0,HYDERABAD,15.0,15.0,2174466673.0,12.0,8.0,-99.0,134.0,6.0,SINDH,13.0,30.0,1.0,132.0,"TANDO MUHAMMAD KHAN, TANDO M KHAN",198.0,"SAEED PUR, SAEEDPUR TC"
217456768.0,4.0,59.0,18.0,6039.0,51.0,HYDERABAD,16.0,38.0,2174567684.0,14.0,10.0,-99.0,136.0,6.0,SINDH,15.0,50.0,1.0,135.0,"HALA, HALA TALUKA",201.0,GHOTANA TC
318466869.0,1.0,55.0,13.0,6039.0,54.0,NOWSHERA,12.0,35.0,3184668691.0,14.0,-99.0,0.0,138.0,9.0,KPK,11.0,15.0,1.0,138.0,"NOWSHERA, PABBI",204.0,"MOHIB BANDA, BANDA MOHIB UC"
318466970.0,2.0,26.0,15.0,6039.0,54.0,NOWSHERA,12.0,19.0,3184669702.0,14.0,-99.0,0.0,140.0,9.0,KPK,11.0,40.0,1.0,138.0,"NOWSHERA, PABBI",207.0,"JALOZAI, JALLOZAI"
318467071.0,3.0,68.0,12.0,6039.0,54.0,NOWSHERA,12.0,0.0,3184670713.0,14.0,-89.0,0.0,142.0,9.0,KPK,11.0,0.0,1.0,138.0,"NOWSHERA, NOWSHERA TEHSIL",210.0,"GANDERI, GANDERI UC"
318467172.0,4.0,63.0,13.0,6039.0,54.0,NOWSHERA,10.0,45.0,3184671724.0,12.0,12.0,-99.0,144.0,9.0,KPK,8.0,59.0,1.0,138.0,"NOWSHERA, NOWSHERA TEHSIL",213.0,"INZARI, AINZARI UC"
319477273.0,1.0,49.0,13.0,6039.0,57.0,MANSEHRA,16.0,51.0,3194772731.0,10.0,-97.0,1.0,146.0,9.0,KPK,16.0,17.0,1.0,141.0,"MANSEHRA, MANSEHRA TEHSIL",216.0,"BEHALI, BEHALI UC"
319477274.0,2.0,39.0,14.0,6039.0,57.0,MANSEHRA,0.0,0.0,3194772742.0,10.0,-97.0,7.0,148.0,9.0,KPK,0.0,0.0,1.0,141.0,"MANSEHRA, MANSEHRA TEHSIL",216.0,"BEHALI, BEHALI UC"
319477374.0,0.0,4.0,5.0,2013.0,19.0,MANSEHRA,0.0,0.0,0.0,0.0,0.0,0.0,74.0,3.0,KPK,0.0,0.0,0.0,47.0,MANSEHRA,73.0,CHATTER PLAIN
319477375.0,3.0,24.0,10.0,4026.0,38.0,MANSEHRA,0.0,0.0,3194773753.0,10.0,-97.0,10.0,75.0,6.0,KPK,0.0,0.0,1.0,94.0,"MANSEHRA, MANSEHRA TEHSIL",146.0,CHATER PIAIN UC
319487476.0,4.0,50.0,14.0,6039.0,57.0,MANSEHRA,0.0,0.0,3194874764.0,10.0,-97.0,10.0,152.0,9.0,KPK,0.0,0.0,1.0,144.0,"BALAKOT, BALA KOT TEHSIL",222.0,"TALHATTA, TALHATA UC"
