CID,PID,FID,Community,D_ID,M_ID,P_ID,R_Age,R_Gender,R_HEL,R_MainIncomeSrc,R_PiP_y,R_TiM_y,Survey_Round,T_ID
101010101.0,1.0,1010101011.0,1.0,1.0,1.0,1.0,53.0,1.0,5.0,8.0,14.0,53.0,1.0,1.0
101010101.0,2.0,1010101011.0,1.0,1.0,1.0,1.0,75.0,1.0,9.0,1.0,50.0,60.0,1.0,1.0
101010101.0,3.0,1010101011.0,1.0,1.0,1.0,1.0,60.0,1.0,23.0,3.0,40.0,60.0,1.0,1.0
101010202.0,1.0,1010102022.0,2.0,1.0,2.0,1.0,60.0,1.0,5.0,1.0,40.0,60.0,1.0,1.0
101010202.0,2.0,1010102022.0,2.0,1.0,2.0,1.0,40.0,1.0,10.0,8.0,6.0,40.0,1.0,1.0
101010202.0,3.0,1010102022.0,2.0,1.0,2.0,1.0,49.0,1.0,5.0,1.0,40.0,49.0,1.0,1.0
101010203.0,1.0,1010102033.0,3.0,1.0,3.0,1.0,65.0,1.0,23.0,1.0,40.0,65.0,1.0,1.0
101010203.0,2.0,1010102033.0,3.0,1.0,3.0,1.0,45.0,1.0,5.0,3.0,20.0,45.0,1.0,1.0
101010203.0,3.0,1010102033.0,3.0,1.0,3.0,1.0,72.0,1.0,10.0,1.0,50.0,72.0,1.0,1.0
101020304.0,1.0,1010203044.0,4.0,1.0,4.0,1.0,72.0,1.0,10.0,1.0,50.0,25.0,1.0,2.0
101020304.0,2.0,1010203044.0,4.0,1.0,4.0,1.0,76.0,1.0,10.0,1.0,50.0,76.0,1.0,2.0
101020304.0,3.0,1010203044.0,4.0,1.0,4.0,1.0,45.0,1.0,5.0,1.0,25.0,45.0,1.0,2.0
102030405.0,1.0,1020304051.0,1.0,2.0,5.0,1.0,32.0,1.0,12.0,1.0,12.0,32.0,1.0,3.0
102030405.0,2.0,1020304051.0,1.0,2.0,5.0,1.0,35.0,1.0,13.0,4.0,7.0,35.0,1.0,3.0
102030405.0,3.0,1020304051.0,1.0,2.0,5.0,1.0,37.0,1.0,8.0,1.0,24.0,37.0,1.0,3.0
102030506.0,1.0,1020305062.0,2.0,2.0,6.0,1.0,52.0,1.0,8.0,1.0,20.0,52.0,1.0,3.0
102030506.0,2.0,1020305062.0,2.0,2.0,6.0,1.0,41.0,1.0,5.0,1.0,29.0,41.0,1.0,3.0
102030506.0,3.0,1020305062.0,2.0,2.0,6.0,1.0,35.0,1.0,5.0,1.0,22.0,35.0,1.0,3.0
102030607.0,1.0,1020306073.0,3.0,2.0,7.0,1.0,37.0,1.0,13.0,1.0,10.0,37.0,1.0,3.0
102030607.0,2.0,1020306073.0,3.0,2.0,7.0,1.0,42.0,1.0,10.0,1.0,24.0,42.0,1.0,3.0
102030607.0,3.0,1020306073.0,3.0,2.0,7.0,1.0,50.0,1.0,5.0,1.0,40.0,50.0,1.0,3.0
102040708.0,1.0,1020407084.0,4.0,2.0,8.0,1.0,43.0,1.0,10.0,1.0,27.0,43.0,1.0,4.0
102040708.0,2.0,1020407084.0,4.0,2.0,8.0,1.0,25.0,1.0,1.0,1.0,11.0,25.0,1.0,4.0
102040708.0,3.0,1020407084.0,4.0,2.0,8.0,1.0,44.0,1.0,0.0,1.0,30.0,44.0,1.0,4.0
103050809.0,1.0,1030508091.0,1.0,3.0,9.0,1.0,60.0,1.0,10.0,1.0,18.0,60.0,1.0,5.0
103050809.0,2.0,1030508091.0,1.0,3.0,9.0,1.0,35.0,1.0,12.0,1.0,10.0,35.0,1.0,5.0
103050809.0,3.0,1030508091.0,1.0,3.0,9.0,1.0,38.0,1.0,0.0,1.0,12.0,38.0,1.0,5.0
103060910.0,1.0,1030609102.0,2.0,3.0,10.0,1.0,37.0,1.0,14.0,4.0,10.0,37.0,1.0,6.0
103060910.0,2.0,1030609102.0,2.0,3.0,10.0,1.0,42.0,1.0,10.0,4.0,12.0,42.0,1.0,6.0
103060910.0,3.0,1030609102.0,2.0,3.0,10.0,1.0,43.0,1.0,10.0,4.0,11.0,0.0,1.0,6.0
103061011.0,1.0,1030610113.0,3.0,3.0,11.0,1.0,48.0,1.0,23.0,1.0,30.0,48.0,1.0,6.0
103061011.0,2.0,1030610113.0,3.0,3.0,11.0,1.0,50.0,1.0,10.0,1.0,30.0,50.0,1.0,6.0
103061011.0,3.0,1030610113.0,3.0,3.0,11.0,1.0,70.0,1.0,10.0,8.0,33.0,33.0,1.0,6.0
103071112.0,1.0,1030711124.0,4.0,3.0,12.0,1.0,69.0,1.0,5.0,1.0,40.0,69.0,1.0,7.0
103071112.0,2.0,1030711124.0,4.0,3.0,12.0,1.0,43.0,1.0,10.0,4.0,6.0,43.0,1.0,7.0
103071112.0,3.0,1030711124.0,4.0,3.0,12.0,1.0,43.0,1.0,5.0,4.0,12.0,43.0,1.0,7.0
104081213.0,1.0,1040812131.0,1.0,4.0,13.0,1.0,65.0,1.0,10.0,1.0,8.0,65.0,1.0,8.0
104081213.0,2.0,1040812131.0,1.0,4.0,13.0,1.0,37.0,1.0,14.0,4.0,6.0,0.0,1.0,8.0
104081213.0,3.0,1040812131.0,1.0,4.0,13.0,1.0,41.0,1.0,13.0,3.0,13.0,41.0,1.0,8.0
104081314.0,1.0,1040813142.0,2.0,4.0,14.0,1.0,46.0,1.0,8.0,3.0,7.0,46.0,1.0,8.0
104081314.0,2.0,1040813142.0,2.0,4.0,14.0,1.0,32.0,1.0,10.0,4.0,12.0,32.0,1.0,8.0
104081314.0,3.0,1040813142.0,2.0,4.0,14.0,1.0,30.0,1.0,17.0,1.0,9.0,30.0,1.0,8.0
104081415.0,1.0,1040814153.0,3.0,4.0,15.0,1.0,58.0,1.0,5.0,1.0,32.0,58.0,1.0,8.0
104081415.0,2.0,1040814153.0,3.0,4.0,15.0,1.0,31.0,1.0,8.0,4.0,7.0,31.0,1.0,8.0
104081415.0,3.0,1040814153.0,3.0,4.0,15.0,1.0,46.0,1.0,5.0,1.0,9.0,46.0,1.0,8.0
104091516.0,1.0,1040915164.0,4.0,4.0,16.0,1.0,61.0,1.0,13.0,3.0,14.0,61.0,1.0,9.0
104091516.0,2.0,1040915164.0,4.0,4.0,16.0,1.0,54.0,1.0,14.0,3.0,9.0,54.0,1.0,9.0
104091516.0,3.0,1040915164.0,4.0,4.0,16.0,1.0,36.0,1.0,10.0,4.0,6.0,36.0,1.0,9.0
105101617.0,1.0,1051016171.0,1.0,5.0,17.0,1.0,60.0,1.0,5.0,5.0,25.0,55.0,1.0,10.0
105101617.0,2.0,1051016171.0,1.0,5.0,17.0,1.0,30.0,1.0,8.0,1.0,10.0,30.0,1.0,10.0
105101617.0,3.0,1051016171.0,1.0,5.0,17.0,1.0,26.0,1.0,14.0,3.0,7.0,26.0,1.0,10.0
105101718.0,1.0,1051017182.0,2.0,5.0,18.0,1.0,40.0,1.0,5.0,1.0,15.0,40.0,1.0,10.0
105101718.0,2.0,1051017182.0,2.0,5.0,18.0,1.0,45.0,1.0,5.0,1.0,30.0,45.0,1.0,10.0
105101718.0,3.0,1051017182.0,2.0,5.0,18.0,1.0,28.0,1.0,21.0,1.0,10.0,28.0,1.0,10.0
105111819.0,1.0,1051118193.0,3.0,5.0,19.0,1.0,60.0,1.0,12.0,4.0,30.0,0.0,1.0,11.0
105111819.0,2.0,1051118193.0,3.0,5.0,19.0,1.0,55.0,1.0,6.0,1.0,35.0,20.0,1.0,11.0
105111819.0,3.0,1051118193.0,3.0,5.0,19.0,1.0,35.0,1.0,8.0,1.0,20.0,30.0,1.0,11.0
105121920.0,1.0,1051219204.0,4.0,5.0,20.0,1.0,46.0,1.0,12.0,4.0,15.0,36.0,1.0,12.0
105121920.0,2.0,1051219204.0,4.0,5.0,20.0,1.0,38.0,1.0,14.0,4.0,10.0,38.0,1.0,12.0
105121920.0,3.0,1051219204.0,4.0,5.0,20.0,1.0,60.0,1.0,12.0,1.0,40.0,60.0,1.0,12.0
106132021.0,1.0,1061320211.0,1.0,6.0,21.0,1.0,32.0,1.0,5.0,7.0,15.0,10.0,1.0,13.0
106132021.0,2.0,1061320211.0,1.0,6.0,21.0,1.0,59.0,1.0,10.0,1.0,30.0,59.0,1.0,13.0
106132021.0,3.0,1061320211.0,1.0,6.0,21.0,1.0,60.0,1.0,5.0,3.0,20.0,60.0,1.0,13.0
106132122.0,1.0,1061321222.0,2.0,6.0,22.0,1.0,38.0,1.0,22.0,3.0,20.0,38.0,1.0,13.0
106132122.0,2.0,1061321222.0,2.0,6.0,22.0,1.0,38.0,1.0,10.0,1.0,20.0,38.0,1.0,13.0
106132122.0,3.0,1061321222.0,2.0,6.0,22.0,1.0,28.0,1.0,10.0,1.0,15.0,28.0,1.0,13.0
106142223.0,1.0,1061422233.0,3.0,6.0,23.0,1.0,63.0,1.0,13.0,1.0,6.0,63.0,1.0,14.0
106142223.0,2.0,1061422233.0,3.0,6.0,23.0,1.0,70.0,1.0,10.0,5.0,40.0,70.0,1.0,14.0
106142223.0,3.0,1061422233.0,3.0,6.0,23.0,1.0,30.0,1.0,14.0,4.0,9.0,27.0,1.0,14.0
106142324.0,1.0,1061423244.0,4.0,6.0,24.0,1.0,60.0,1.0,12.0,1.0,38.0,60.0,1.0,14.0
106142324.0,2.0,1061423244.0,4.0,6.0,24.0,1.0,40.0,1.0,5.0,1.0,20.0,40.0,1.0,14.0
106142324.0,3.0,1061423244.0,4.0,6.0,24.0,1.0,48.0,1.0,22.0,1.0,25.0,48.0,1.0,14.0
107152425.0,1.0,1071524251.0,1.0,7.0,25.0,1.0,61.0,1.0,5.0,1.0,4.0,40.0,1.0,15.0
107152425.0,2.0,1071524251.0,1.0,7.0,25.0,1.0,47.0,1.0,12.0,6.0,24.0,47.0,1.0,15.0
107152425.0,3.0,1071524251.0,1.0,7.0,25.0,1.0,50.0,1.0,10.0,1.0,4.0,0.0,1.0,15.0
107162526.0,1.0,1071625262.0,2.0,7.0,26.0,1.0,50.0,1.0,10.0,3.0,10.0,20.0,1.0,16.0
107162526.0,2.0,1071625262.0,2.0,7.0,26.0,1.0,46.0,1.0,23.0,3.0,15.0,25.0,1.0,16.0
107162526.0,3.0,1071625262.0,2.0,7.0,26.0,1.0,55.0,1.0,23.0,3.0,10.0,25.0,1.0,16.0
107162627.0,1.0,1071626273.0,3.0,7.0,27.0,1.0,23.0,1.0,12.0,6.0,4.0,23.0,1.0,16.0
107162627.0,2.0,1071626273.0,3.0,7.0,27.0,1.0,65.0,1.0,23.0,1.0,20.0,50.0,1.0,16.0
107162627.0,3.0,1071626273.0,3.0,7.0,27.0,1.0,27.0,1.0,23.0,3.0,5.0,20.0,1.0,16.0
107172728.0,1.0,1071727284.0,4.0,7.0,28.0,1.0,51.0,1.0,10.0,1.0,13.0,50.0,1.0,17.0
107172728.0,2.0,1071727284.0,4.0,7.0,28.0,1.0,60.0,1.0,10.0,4.0,10.0,10.0,1.0,17.0
107172728.0,3.0,1071727284.0,4.0,7.0,28.0,1.0,27.0,1.0,13.0,1.0,10.0,27.0,1.0,17.0
108182829.0,1.0,1081828291.0,1.0,8.0,29.0,1.0,54.0,1.0,5.0,1.0,22.0,54.0,1.0,18.0
108182829.0,2.0,1081828291.0,1.0,8.0,29.0,1.0,40.0,1.0,23.0,7.0,10.0,40.0,1.0,18.0
108182829.0,3.0,1081828291.0,1.0,8.0,29.0,1.0,45.0,1.0,10.0,4.0,15.0,15.0,1.0,18.0
108192930.0,1.0,1081929302.0,2.0,8.0,30.0,1.0,48.0,1.0,5.0,1.0,7.0,45.0,1.0,19.0
108192930.0,2.0,1081929302.0,2.0,8.0,30.0,1.0,70.0,1.0,23.0,1.0,42.0,42.0,1.0,19.0
108192930.0,3.0,1081929302.0,2.0,8.0,30.0,1.0,41.0,1.0,14.0,4.0,8.0,28.0,1.0,19.0
108203031.0,1.0,1082030313.0,3.0,8.0,31.0,1.0,45.0,1.0,12.0,1.0,30.0,45.0,1.0,20.0
108203031.0,2.0,1082030313.0,3.0,8.0,31.0,1.0,45.0,1.0,4.0,3.0,10.0,45.0,1.0,20.0
108203031.0,3.0,1082030313.0,3.0,8.0,31.0,1.0,49.0,1.0,23.0,1.0,20.0,49.0,1.0,20.0
108213132.0,1.0,1082131324.0,4.0,8.0,32.0,1.0,71.0,1.0,23.0,1.0,50.0,71.0,1.0,21.0
108213132.0,2.0,1082131324.0,4.0,8.0,32.0,1.0,50.0,1.0,8.0,1.0,30.0,50.0,1.0,21.0
108213132.0,3.0,1082131324.0,4.0,8.0,32.0,1.0,26.0,1.0,0.0,1.0,16.0,26.0,1.0,21.0
109223233.0,1.0,1092232331.0,1.0,9.0,33.0,1.0,61.0,1.0,13.0,1.0,24.0,61.0,1.0,22.0
109223233.0,2.0,1092232331.0,1.0,9.0,33.0,1.0,29.0,1.0,10.0,3.0,5.0,29.0,1.0,22.0
109223233.0,3.0,1092232331.0,1.0,9.0,33.0,1.0,62.0,1.0,0.0,1.0,30.0,45.0,1.0,22.0
109223334.0,1.0,1092233342.0,2.0,9.0,34.0,1.0,44.0,1.0,13.0,4.0,23.0,0.0,1.0,22.0
109223334.0,2.0,1092233342.0,2.0,9.0,34.0,1.0,35.0,1.0,10.0,1.0,1.0,1.0,1.0,22.0
109223334.0,3.0,1092233342.0,2.0,9.0,34.0,1.0,55.0,1.0,5.0,1.0,25.0,55.0,1.0,22.0
109233435.0,1.0,1092334353.0,3.0,9.0,35.0,1.0,42.0,1.0,6.0,7.0,28.0,34.0,1.0,23.0
109233435.0,2.0,1092334353.0,3.0,9.0,35.0,1.0,28.0,1.0,1.0,3.0,1.0,28.0,1.0,23.0
109233435.0,3.0,1092334353.0,3.0,9.0,35.0,1.0,19.0,1.0,8.0,1.0,3.0,19.0,1.0,23.0
109233536.0,1.0,1092335364.0,4.0,9.0,36.0,1.0,50.0,1.0,13.0,4.0,27.0,50.0,1.0,23.0
109233536.0,2.0,1092335364.0,4.0,9.0,36.0,1.0,52.0,1.0,5.0,1.0,40.0,52.0,1.0,23.0
109233536.0,3.0,1092335364.0,4.0,9.0,36.0,1.0,23.0,1.0,14.0,1.0,1.0,23.0,1.0,23.0
110243637.0,1.0,1102436371.0,1.0,10.0,37.0,1.0,32.0,1.0,13.0,3.0,8.0,32.0,1.0,24.0
110243637.0,2.0,1102436371.0,1.0,10.0,37.0,1.0,30.0,1.0,9.0,3.0,12.0,30.0,1.0,24.0
110243637.0,3.0,1102436371.0,1.0,10.0,37.0,1.0,40.0,1.0,7.0,3.0,16.0,40.0,1.0,24.0
110243738.0,1.0,1102437382.0,2.0,10.0,38.0,1.0,47.0,1.0,7.0,1.0,31.0,47.0,1.0,24.0
110243738.0,2.0,1102437382.0,2.0,10.0,38.0,1.0,50.0,1.0,5.0,1.0,18.0,50.0,1.0,24.0
110243738.0,3.0,1102437382.0,2.0,10.0,38.0,1.0,55.0,1.0,5.0,1.0,25.0,55.0,1.0,24.0
110243839.0,1.0,1102438393.0,3.0,10.0,39.0,1.0,38.0,1.0,10.0,1.0,12.0,38.0,1.0,24.0
110243839.0,2.0,1102438393.0,3.0,10.0,39.0,1.0,28.0,1.0,5.0,3.0,3.0,28.0,1.0,24.0
110243839.0,3.0,1102438393.0,3.0,10.0,39.0,1.0,35.0,1.0,5.0,1.0,18.0,35.0,1.0,24.0
110253940.0,1.0,1102539404.0,4.0,10.0,40.0,1.0,62.0,1.0,23.0,1.0,4.0,62.0,1.0,25.0
110253940.0,2.0,1102539404.0,4.0,10.0,40.0,1.0,63.0,1.0,23.0,1.0,30.0,37.0,1.0,25.0
110253940.0,3.0,1102539404.0,4.0,10.0,40.0,1.0,38.0,1.0,10.0,1.0,6.0,38.0,1.0,25.0
111264041.0,1.0,1112640411.0,1.0,11.0,41.0,1.0,40.0,1.0,14.0,4.0,19.0,40.0,1.0,26.0
111264041.0,2.0,1112640411.0,1.0,11.0,41.0,1.0,48.0,1.0,10.0,4.0,25.0,48.0,1.0,26.0
111264041.0,3.0,1112640411.0,1.0,11.0,41.0,1.0,25.0,2.0,13.0,6.0,2.0,25.0,1.0,26.0
111274142.0,1.0,1112741422.0,2.0,11.0,42.0,1.0,39.0,1.0,12.0,1.0,12.0,39.0,1.0,27.0
111274142.0,2.0,1112741422.0,2.0,11.0,42.0,1.0,53.0,1.0,10.0,1.0,35.0,53.0,1.0,27.0
111274142.0,3.0,1112741422.0,2.0,11.0,42.0,1.0,40.0,1.0,5.0,1.0,22.0,40.0,1.0,27.0
111274243.0,1.0,1112742433.0,3.0,11.0,43.0,1.0,60.0,1.0,10.0,1.0,2.0,60.0,1.0,27.0
111274243.0,2.0,1112742433.0,3.0,11.0,43.0,1.0,37.0,1.0,12.0,3.0,15.0,37.0,1.0,27.0
111274243.0,3.0,1112742433.0,3.0,11.0,43.0,1.0,60.0,1.0,8.0,3.0,40.0,60.0,1.0,27.0
111284344.0,1.0,1112843444.0,4.0,11.0,44.0,1.0,59.0,1.0,10.0,1.0,22.0,0.0,1.0,28.0
111284344.0,2.0,1112843444.0,4.0,11.0,44.0,1.0,41.0,1.0,8.0,1.0,2.0,41.0,1.0,28.0
111284344.0,3.0,1112843444.0,4.0,11.0,44.0,1.0,68.0,1.0,5.0,1.0,15.0,68.0,1.0,28.0
112294445.0,1.0,1122944451.0,1.0,12.0,45.0,1.0,29.0,1.0,8.0,1.0,15.0,29.0,1.0,29.0
112294445.0,2.0,1122944451.0,1.0,12.0,45.0,1.0,28.0,1.0,10.0,1.0,12.0,28.0,1.0,29.0
112294445.0,3.0,1122944451.0,1.0,12.0,45.0,1.0,30.0,1.0,10.0,1.0,15.0,30.0,1.0,29.0
112304546.0,1.0,1123045462.0,2.0,12.0,46.0,1.0,79.0,1.0,10.0,1.0,50.0,79.0,1.0,30.0
112304546.0,2.0,1123045462.0,2.0,12.0,46.0,1.0,59.0,1.0,23.0,1.0,40.0,59.0,1.0,30.0
