CID,Community,D_ID,FID,M_ID,PID,P_ID,R_Age,R_Gender,R_HEL,R_MainIncomeSrc,R_PiP_y,R_TiM_y,Survey_Round,T_ID
101010101.0,3.0,3.0,3030303033.0,3.0,13.0,3.0,354.0,7.0,66.0,22.0,173.0,129.0,3.0,3.0
101010202.0,6.0,3.0,3030306066.0,6.0,13.0,3.0,254.0,7.0,47.0,14.0,125.0,155.0,3.0,3.0
101010203.0,9.0,3.0,3030306099.0,9.0,13.0,3.0,330.0,7.0,43.0,9.0,177.0,229.0,3.0,3.0
101020304.0,12.0,3.0,3030609132.0,12.0,13.0,3.0,346.0,7.0,70.0,12.0,170.0,216.0,3.0,6.0
102030405.0,3.0,6.0,3060912153.0,15.0,13.0,3.0,327.0,7.0,75.0,19.0,138.0,264.0,3.0,9.0
102030506.0,6.0,6.0,3060915186.0,18.0,13.0,3.0,307.0,7.0,54.0,7.0,136.0,273.0,3.0,9.0
102030607.0,9.0,6.0,3060918219.0,21.0,13.0,3.0,286.0,7.0,51.0,9.0,155.0,286.0,3.0,9.0
102040708.0,12.0,6.0,3061221252.0,24.0,13.0,3.0,282.0,7.0,48.0,18.0,146.0,282.0,3.0,12.0
103050809.0,3.0,9.0,3091524273.0,27.0,13.0,3.0,333.0,7.0,51.0,7.0,107.0,333.0,3.0,15.0
103060910.0,6.0,9.0,3091827306.0,30.0,13.0,3.0,290.0,7.0,77.0,16.0,96.0,247.0,3.0,18.0
103061011.0,9.0,9.0,3091830339.0,33.0,13.0,3.0,380.0,7.0,77.0,16.0,174.0,265.0,3.0,18.0
103071112.0,12.0,9.0,3092133372.0,36.0,13.0,3.0,317.0,7.0,37.0,13.0,122.0,317.0,3.0,21.0
104081213.0,3.0,12.0,3122436393.0,39.0,13.0,3.0,313.0,7.0,79.0,31.0,78.0,276.0,3.0,24.0
104081314.0,6.0,12.0,3122439426.0,42.0,13.0,3.0,322.0,7.0,73.0,24.0,163.0,322.0,3.0,24.0
104081415.0,9.0,12.0,3122442459.0,45.0,13.0,3.0,313.0,7.0,55.0,17.0,131.0,313.0,3.0,24.0
104091516.0,12.0,12.0,3122745492.0,48.0,13.0,3.0,341.0,7.0,75.0,17.0,134.0,341.0,3.0,27.0
105101617.0,3.0,15.0,3153048513.0,51.0,13.0,3.0,303.0,7.0,57.0,13.0,131.0,288.0,3.0,30.0
105101718.0,6.0,15.0,3153051546.0,54.0,13.0,3.0,310.0,7.0,46.0,7.0,112.0,310.0,3.0,30.0
105111819.0,9.0,15.0,3153354579.0,57.0,13.0,3.0,333.0,7.0,100.0,10.0,183.60000610351562,215.0,3.0,33.0
105121920.0,12.0,15.0,3153657612.0,60.0,13.0,3.0,373.0,7.0,79.0,19.0,175.0,363.0,3.0,36.0
106132021.0,3.0,18.0,3183960633.0,63.0,13.0,3.0,318.0,7.0,65.0,18.0,157.0,296.0,3.0,39.0
106132122.0,6.0,18.0,3183963666.0,66.0,13.0,3.0,227.0,7.0,82.0,15.0,120.0,224.0,3.0,39.0
106142223.0,9.0,18.0,3184266699.0,69.0,13.0,3.0,341.0,7.0,81.0,22.0,140.0,318.0,3.0,42.0
106142324.0,12.0,18.0,3184269732.0,72.0,13.0,3.0,377.0,7.0,75.0,12.0,211.0,377.0,3.0,42.0
107152425.0,3.0,21.0,3214572753.0,75.0,13.0,3.0,283.0,7.0,65.0,17.0,74.0,207.0,3.0,45.0
107152627.0,0.0,0.0,0.0,0.0,6.0,0.0,110.0,3.0,30.0,5.0,47.0,82.0,0.0,0.0
107162526.0,6.0,21.0,3214875786.0,78.0,13.0,3.0,307.0,7.0,92.0,24.0,97.0,166.0,3.0,48.0
107162627.0,9.0,21.0,3214878819.0,81.0,6.0,3.0,115.0,3.0,58.0,10.0,29.0,93.0,3.0,48.0
107172728.0,12.0,21.0,3215181852.0,84.0,12.0,3.0,221.0,6.0,71.0,14.0,69.0,170.0,3.0,51.0
108182829.0,3.0,24.0,3245484873.0,87.0,13.0,3.0,315.0,7.0,66.0,24.0,121.0,252.0,3.0,54.0
108192930.0,6.0,24.0,3245787906.0,90.0,13.0,3.0,351.0,7.0,75.0,10.0,129.0,274.0,3.0,57.0
108203031.0,9.0,24.0,3246090939.0,93.0,13.0,3.0,359.0,7.0,74.0,18.0,106.0,359.0,3.0,60.0
108213132.0,12.0,24.0,3246393972.0,96.0,13.0,3.0,316.0,7.0,59.0,7.0,145.0,316.0,3.0,63.0
109223233.0,3.0,27.0,3276696993.0,99.0,13.0,3.0,308.0,7.0,64.0,21.0,114.0,282.0,3.0,66.0
109223334.0,6.0,27.0,3276700026.0,102.0,13.0,3.0,320.0,7.0,63.0,15.0,132.0,210.0,3.0,66.0
109233435.0,9.0,27.0,3277003059.0,105.0,13.0,3.0,239.0,6.0,44.0,26.0,94.0,225.0,3.0,69.0
109233536.0,12.0,27.0,3277006092.0,108.0,13.0,3.0,252.0,7.0,85.0,14.0,107.0,253.0,3.0,69.0
110243637.0,3.0,30.0,3307309113.0,111.0,13.0,3.0,314.0,7.0,53.0,18.0,143.0,314.0,3.0,72.0
110243738.0,6.0,30.0,3307312146.0,114.0,13.0,3.0,289.0,7.0,58.0,17.0,108.0,289.0,3.0,72.0
110243839.0,9.0,30.0,3307315179.0,117.0,13.0,3.0,235.0,7.0,56.0,20.0,102.4000015258789,235.0,3.0,72.0
110253940.0,12.0,30.0,3307618212.0,120.0,13.0,3.0,341.0,7.0,94.0,9.0,94.0,315.0,3.0,75.0
111264041.0,3.0,33.0,3337921233.0,123.0,13.0,3.0,309.0,8.0,62.0,21.0,114.0,309.0,3.0,78.0
111274142.0,6.0,33.0,3338224266.0,126.0,13.0,3.0,253.0,7.0,67.0,7.0,103.0,253.0,3.0,81.0
111274243.0,9.0,33.0,3338227299.0,129.0,13.0,3.0,310.0,7.0,72.0,18.0,87.0,310.0,3.0,81.0
111284344.0,12.0,33.0,3338530332.0,132.0,13.0,3.0,370.0,7.0,59.0,9.0,95.0,311.0,3.0,84.0
112294445.0,3.0,36.0,3368833353.0,135.0,13.0,3.0,239.0,7.0,48.0,9.0,125.0,239.0,3.0,87.0
112304546.0,6.0,36.0,3369136386.0,138.0,13.0,3.0,421.0,7.0,63.0,13.0,193.0,389.0,3.0,90.0
112304647.0,9.0,36.0,3369139419.0,141.0,13.0,3.0,352.0,7.0,33.0,18.0,132.0,298.0,3.0,90.0
112314748.0,12.0,36.0,3369442452.0,144.0,13.0,3.0,311.0,7.0,75.0,20.0,128.0,291.0,3.0,93.0
213324849.0,3.0,39.0,6399745473.0,147.0,13.0,6.0,278.0,7.0,18.0,7.0,141.0,278.0,3.0,96.0
213324950.0,6.0,39.0,6399748506.0,150.0,7.0,6.0,113.0,4.0,52.0,9.0,40.0,113.0,3.0,96.0
213324952.0,9.0,39.0,6399748569.0,156.0,13.0,6.0,291.0,7.0,49.0,12.0,125.0,291.0,3.0,96.0
213334950.0,0.0,0.0,0.0,0.0,6.0,0.0,64.0,3.0,7.0,5.0,23.0,64.0,0.0,0.0
213335051.0,12.0,39.0,6400054542.0,153.0,13.0,6.0,279.0,7.0,103.0,11.0,152.0,279.0,3.0,99.0
214345253.0,3.0,42.0,6430357593.0,159.0,13.0,6.0,371.0,7.0,83.0,18.0,175.0,371.0,3.0,102.0
214355354.0,6.0,42.0,6430660626.0,162.0,12.0,6.0,301.0,6.0,57.0,28.0,115.0,258.0,3.0,105.0
214365455.0,9.0,42.0,6430963659.0,165.0,13.0,6.0,312.0,7.0,31.0,7.0,134.0,293.0,3.0,108.0
214365556.0,0.0,0.0,0.0,0.0,6.0,0.0,99.0,3.0,32.0,3.0,15.0,99.0,0.0,0.0
214375556.0,12.0,42.0,6431266692.0,168.0,7.0,6.0,150.0,4.0,56.0,14.0,62.0,143.0,3.0,111.0
215385657.0,3.0,45.0,6461569713.0,171.0,13.0,6.0,297.0,7.0,81.0,10.0,159.0,297.0,3.0,114.0
215395758.0,6.0,45.0,6461872746.0,174.0,13.0,6.0,239.0,7.0,91.0,22.0,103.0,239.0,3.0,117.0
215395859.0,9.0,45.0,6461875779.0,177.0,13.0,6.0,318.0,7.0,57.0,15.0,161.0,205.0,3.0,117.0
215405960.0,12.0,45.0,6462178812.0,180.0,13.0,6.0,265.0,7.0,49.0,10.0,124.0,104.0,3.0,120.0
216416061.0,3.0,48.0,6492481833.0,183.0,13.0,6.0,305.0,7.0,60.0,12.0,173.0,305.0,3.0,123.0
216416162.0,6.0,48.0,6492484866.0,186.0,13.0,6.0,273.0,7.0,82.0,7.0,146.0,217.0,3.0,123.0
216426263.0,9.0,48.0,6492787899.0,189.0,13.0,6.0,326.0,7.0,103.0,25.0,168.0,326.0,3.0,126.0
216436364.0,12.0,48.0,6493090932.0,192.0,13.0,6.0,346.0,7.0,84.0,7.0,230.0,318.0,3.0,129.0
217446465.0,3.0,51.0,6523393953.0,195.0,13.0,6.0,370.0,7.0,108.0,10.0,220.0,351.0,3.0,132.0
217446566.0,6.0,51.0,6523396986.0,198.0,13.0,6.0,354.0,7.0,51.0,12.0,175.0,357.0,3.0,132.0
217446667.0,9.0,51.0,6523400019.0,201.0,13.0,6.0,342.0,7.0,64.0,17.0,120.0,364.0,3.0,132.0
217456768.0,12.0,51.0,6523703052.0,204.0,13.0,6.0,300.0,7.0,90.0,21.0,126.0,278.0,3.0,135.0
318466869.0,3.0,54.0,9554006073.0,207.0,13.0,9.0,294.0,7.0,67.0,10.0,177.0,294.0,3.0,138.0
318466970.0,6.0,54.0,9554009106.0,210.0,13.0,9.0,260.0,7.0,88.0,26.0,89.0,260.0,3.0,138.0
318467071.0,9.0,54.0,9554012139.0,213.0,13.0,9.0,283.0,7.0,71.0,21.0,117.0,283.0,3.0,138.0
318467172.0,12.0,54.0,9554015172.0,216.0,13.0,9.0,355.0,7.0,59.0,32.0,158.0,355.0,3.0,138.0
319477273.0,3.0,57.0,9584318193.0,219.0,13.0,9.0,326.0,7.0,50.0,27.0,123.0,326.0,3.0,141.0
319477274.0,6.0,57.0,9584318226.0,222.0,13.0,9.0,358.0,7.0,72.0,20.0,152.0,337.0,3.0,141.0
319477374.0,0.0,0.0,0.0,0.0,6.0,0.0,88.0,3.0,40.0,14.0,23.0,88.0,0.0,0.0
319477375.0,9.0,57.0,9584321259.0,225.0,7.0,9.0,184.0,4.0,52.0,13.0,89.0,184.0,3.0,141.0
319487476.0,12.0,57.0,9584624292.0,228.0,13.0,9.0,343.0,7.0,92.0,20.0,101.0,287.0,3.0,144.0
