CID,NA_ElecFair,NA_MNA_GroupMeets,NA_MNA_NoV,NA_MNA_PP,NA_MNA_WobM,NA_MaxCampM,NA_MaxCampM_DTD,NA_MaxCampM_NoR,NA_MaxCamp_AdvBB,NA_MaxCamp_AdvES,NA_MaxCamp_AdvNews,NA_MaxCamp_AdvTV,NA_NoCandM,NA_NoPSM,NA_PPCampaign,NA_PPCampaign_PartyCode,NA_TNoPPCamp,PA_ElecFair,PA_MPA_GroupMeets,PA_MPA_NoV,PA_MPA_PP,PA_MPA_WobM,PA_MaxCampM,PA_MaxCampM_DTD,PA_MaxCampM_NoR,PA_MaxCamp_AdvBB,PA_MaxCamp_AdvES,PA_MaxCamp_AdvNews,PA_MaxCamp_AdvTV,PA_NoCandM,PA_NoPSM,PA_PPCampaign,PA_PPCampaign_PartyCode,PA_TNoPPCamp
101010101.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,0.0,0.0,4.0,1.0,7.0,378.0,6.0,1.0,2.0,3.0,12.0,2.0,1.0,1.0,6.0,1.0,1.0,0.0,0.0,3.0,1.0,7.0,378.0,7.0
101010202.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,378.0,5.0,2.0,1.0,0.0,12.0,1.0,12.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,378.0,5.0
101010203.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,378.0,4.0,2.0,1.0,0.0,12.0,1.0,12.0,1.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,378.0,4.0
101020304.0,4.0,1.0,0.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,378.0,4.0,2.0,1.0,0.0,12.0,1.0,12.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,378.0,5.0
102030405.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,378.0,4.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,378.0,4.0
102030506.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0,4.0,378.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,0.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0,4.0,378.0,4.0
102030607.0,1.0,1.0,0.0,1.0,1.0,6.0,0.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,378.0,4.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,378.0,4.0
102040708.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,378.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,378.0,4.0
103050809.0,2.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,378.0,3.0,2.0,3.0,3.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,378.0,3.0
103060910.0,4.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,378.0,6.0,4.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,378.0,6.0
103061011.0,5.0,1.0,0.0,1.0,1.0,3.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,378.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,378.0,2.0
103071112.0,4.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,5.0,378.0,5.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,5.0,378.0,5.0
104081213.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,5.0,378.0,4.0,1.0,3.0,5.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,5.0,378.0,5.0
104081314.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0,3.0,378.0,3.0,1.0,3.0,100.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0,1.0,5.0,378.0,5.0
104081415.0,1.0,2.0,7.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,5.0,2.0,5.0,378.0,5.0,1.0,2.0,5.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,5.0,2.0,5.0,378.0,5.0
104091516.0,1.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,4.0,378.0,4.0,4.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,4.0,378.0,4.0
105101617.0,4.0,1.0,0.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,378.0,3.0,2.0,1.0,0.0,3.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,378.0,3.0
105101718.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,378.0,4.0,1.0,1.0,0.0,12.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,378.0,4.0
105111819.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,378.0,3.0,2.0,1.0,0.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,378.0,3.0
105121920.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,4.0,1.0,4.0,378.0,3.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,378.0,4.0
106132021.0,2.0,2.0,2.0,6.0,2.0,6.0,0.0,25.0,1.0,1.0,0.0,0.0,1.0,1.0,4.0,378.0,4.0,4.0,1.0,0.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,0.0,0.0,1.0,1.0,4.0,378.0,4.0
106132122.0,2.0,1.0,4.0,6.0,1.0,1.0,0.0,16.0,1.0,1.0,0.0,0.0,1.0,2.0,4.0,378.0,4.0,2.0,1.0,1.0,6.0,1.0,1.0,0.0,16.0,1.0,1.0,0.0,0.0,1.0,2.0,5.0,378.0,5.0
106142223.0,1.0,1.0,1.0,6.0,1.0,6.0,0.0,10.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,378.0,3.0,3.0,1.0,0.0,1.0,1.0,2.0,0.0,16.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,378.0,3.0
106142324.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,15.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,378.0,4.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,15.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,378.0,3.0
107152425.0,4.0,2.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,4.0,6.0,378.0,6.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,378.0,4.0
107162526.0,4.0,1.0,0.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,3.0,2.0,7.0,378.0,7.0,2.0,2.0,0.0,1.0,1.0,3.0,1.0,8.0,1.0,1.0,1.0,1.0,5.0,2.0,7.0,378.0,7.0
108182829.0,4.0,1.0,0.0,15.0,1.0,6.0,0.0,3.0,1.0,1.0,1.0,0.0,2.0,1.0,7.0,378.0,7.0,4.0,1.0,0.0,15.0,1.0,6.0,0.0,3.0,1.0,1.0,1.0,0.0,2.0,1.0,7.0,378.0,7.0
108192930.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,9.0,378.0,9.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,9.0,378.0,9.0
108203031.0,2.0,2.0,2.0,1.0,2.0,15.0,1.0,7.0,1.0,1.0,1.0,0.0,3.0,1.0,7.0,378.0,7.0,2.0,2.0,5.0,1.0,2.0,1.0,0.0,4.0,1.0,1.0,1.0,0.0,3.0,1.0,7.0,378.0,7.0
108213132.0,1.0,2.0,0.0,6.0,1.0,6.0,0.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,6.0,378.0,6.0,4.0,3.0,0.0,1.0,1.0,1.0,0.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,6.0,378.0,6.0
109223233.0,3.0,1.0,0.0,1.0,1.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,3.0,2.0,7.0,378.0,7.0,3.0,1.0,0.0,2.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,2.0,2.0,6.0,378.0,6.0
109223334.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,378.0,3.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,378.0,3.0
109233435.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,1.0,1.0,3.0,2.0,5.0,378.0,5.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,1.0,1.0,4.0,2.0,5.0,378.0,5.0
109233536.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,6.0,1.0,0.0,1.0,1.0,2.0,2.0,6.0,378.0,6.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,3.0,2.0,5.0,378.0,5.0
110243637.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,378.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,378.0,3.0
110243738.0,4.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,378.0,2.0,2.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,378.0,2.0
110243839.0,4.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,378.0,4.0,5.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,378.0,5.0
110253940.0,5.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,351.0,4.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,378.0,4.0
111264041.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,3.0,5.0,5.0,378.0,5.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,5.0,5.0,378.0,5.0
111274142.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,3.0,1.0,7.0,378.0,7.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,6.0,1.0,1.0,1.0,0.0,2.0,1.0,7.0,378.0,7.0
111274243.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,3.0,1.0,1.0,1.0,0.0,2.0,4.0,5.0,378.0,5.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,0.0,3.0,4.0,5.0,378.0,5.0
111284344.0,2.0,1.0,0.0,1.0,1.0,6.0,1.0,4.0,1.0,1.0,1.0,0.0,1.0,2.0,6.0,378.0,6.0,1.0,1.0,0.0,6.0,1.0,6.0,1.0,5.0,1.0,1.0,1.0,0.0,2.0,2.0,6.0,378.0,6.0
112294445.0,4.0,1.0,0.0,1.0,1.0,3.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,378.0,4.0,4.0,1.0,0.0,1.0,1.0,3.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,378.0,4.0
112304546.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,378.0,3.0,2.0,2.0,1.0,6.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,378.0,3.0
112304647.0,2.0,1.0,0.0,1.0,1.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,378.0,1.0,4.0,1.0,0.0,6.0,1.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,378.0,2.0
112314748.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,378.0,5.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,378.0,5.0
213324849.0,4.0,1.0,0.0,2.0,1.0,2.0,0.0,20.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,378.0,2.0,4.0,1.0,0.0,1.0,1.0,1.0,0.0,25.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,378.0,2.0
213324950.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,40.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,378.0,2.0,2.0,2.0,5.0,2.0,2.0,1.0,1.0,45.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,378.0,2.0
213324952.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,30.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,378.0,2.0,2.0,2.0,12.0,1.0,2.0,1.0,1.0,45.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,378.0,2.0
213335051.0,1.0,1.0,5.0,1.0,2.0,1.0,1.0,30.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,378.0,2.0,2.0,3.0,12.0,1.0,2.0,1.0,1.0,38.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,378.0,2.0
214345253.0,4.0,1.0,0.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,378.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,1.0,6.0,1.0,1.0,1.0,1.0,6.0,1.0,3.0,378.0,3.0
214365455.0,3.0,1.0,0.0,2.0,1.0,2.0,1.0,16.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,378.0,2.0,3.0,1.0,0.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,378.0,3.0
214375556.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,12.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,378.0,3.0,1.0,1.0,0.0,2.0,1.0,2.0,1.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,378.0,3.0
215385657.0,2.0,1.0,0.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,378.0,2.0,2.0,1.0,0.0,7.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,378.0,2.0
215395758.0,5.0,3.0,20.0,7.0,1.0,2.0,1.0,25.0,1.0,1.0,1.0,1.0,0.0,8.0,2.0,378.0,2.0,5.0,3.0,15.0,7.0,1.0,2.0,1.0,25.0,1.0,1.0,1.0,1.0,0.0,8.0,2.0,378.0,2.0
215395859.0,4.0,1.0,1.0,7.0,1.0,1.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,8.0,2.0,378.0,2.0,4.0,1.0,0.0,7.0,1.0,7.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,8.0,3.0,378.0,3.0
215405960.0,2.0,2.0,1.0,2.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,378.0,2.0,3.0,1.0,0.0,2.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,378.0,2.0
216416061.0,3.0,1.0,0.0,2.0,2.0,2.0,1.0,10.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,378.0,3.0,4.0,1.0,0.0,2.0,1.0,2.0,1.0,10.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,378.0,4.0
216416162.0,5.0,1.0,0.0,2.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,378.0,4.0,3.0,1.0,0.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,378.0,4.0
216426263.0,4.0,1.0,0.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,378.0,2.0,4.0,1.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,378.0,2.0
216436364.0,2.0,1.0,0.0,2.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,378.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,8.0,1.0,1.0,1.0,1.0,0.0,2.0,3.0,378.0,3.0
217446465.0,5.0,1.0,0.0,2.0,1.0,6.0,1.0,10.0,1.0,0.0,0.0,0.0,1.0,2.0,4.0,378.0,4.0,5.0,1.0,0.0,2.0,1.0,6.0,1.0,10.0,1.0,0.0,0.0,0.0,1.0,2.0,4.0,351.0,4.0
217446566.0,5.0,1.0,0.0,2.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,0.0,1.0,2.0,3.0,378.0,3.0,5.0,1.0,0.0,2.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,0.0,1.0,2.0,3.0,378.0,3.0
217446667.0,4.0,1.0,0.0,2.0,1.0,2.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,378.0,2.0,5.0,1.0,0.0,2.0,1.0,2.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,378.0,2.0
217456768.0,5.0,1.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,4.0,378.0,4.0,5.0,1.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,4.0,378.0,4.0
318466869.0,1.0,3.0,2.0,3.0,2.0,3.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,378.0,4.0,1.0,2.0,2.0,3.0,2.0,3.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,378.0,4.0
318466970.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,8.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,378.0,3.0,1.0,3.0,10.0,3.0,3.0,3.0,1.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,378.0,3.0
318467071.0,5.0,2.0,0.0,3.0,1.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,378.0,3.0,4.0,2.0,0.0,3.0,1.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,378.0,4.0
318467172.0,3.0,1.0,0.0,3.0,1.0,10.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,351.0,3.0,4.0,2.0,2.0,3.0,1.0,10.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,378.0,3.0
319477273.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,2.0,3.0,378.0,3.0,1.0,1.0,0.0,6.0,1.0,6.0,1.0,2.0,1.0,1.0,1.0,0.0,4.0,2.0,5.0,378.0,5.0
319477274.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,378.0,3.0,1.0,2.0,2.0,6.0,1.0,6.0,1.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,378.0,4.0
319477375.0,4.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,378.0,3.0,4.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,378.0,3.0
319487476.0,4.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,5.0,378.0,5.0,4.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,378.0,4.0
