CID,FID,Community,D_ID,M_ID,ND_ABC,ND_AM,ND_EventDesc,ND_Eventno,ND_FG,ND_FNGO,ND_LG,ND_M_5y,ND_M_y,ND_Oth,ND_PG,ND_PNGO,ND_UseAssist,ND_m1,ND_m2,ND_m3,ND_y1,ND_y2,ND_y3,P_ID,T_ID,UC_ID
101010101.0,1010101011.0,8.0,8.0,8.0,2.0,33.0,"Fire, Flood/typhoon, Drought, Earthquake/landslide, Famine, Epidemic, Civil unrest or violence, Crop Insect/disease outbreak",36.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2011.0,0.0,0.0,8.0,8.0,8.0
101010202.0,1010102022.0,16.0,8.0,16.0,2.0,60.0,"Fire, Flood/typhoon, Drought, Earthquake/landslide, Famine, Epidemic, Civil unrest or violence",36.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,2007.0,0.0,8.0,8.0,16.0
101010203.0,1010102033.0,24.0,8.0,24.0,3.0,34.0,"Crop Insect/disease outbreak, Fire, Flood/typhoon, Drought, Earthquake/landslide, Famine, Epidemic",36.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4022.0,4020.0,2009.0,8.0,8.0,16.0
101020304.0,1010203044.0,32.0,8.0,32.0,1.0,50.0,"Civil unrest or violence, Crop Insect/disease outbreak, Fire, Flood/typhoon, Drought, Earthquake/landslide, Famine",36.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,2011.0,2010.0,2009.0,8.0,16.0,24.0
102030405.0,1020304051.0,8.0,16.0,40.0,3.0,225.0,"Epidemic, Civil unrest or violence, Crop Insect/disease outbreak, Fire, Flood/typhoon, Drought, Earthquake/landslide",36.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,6031.0,6034.0,6031.0,8.0,24.0,32.0
102030506.0,1020305062.0,16.0,16.0,48.0,3.0,110.0,"Famine, Epidemic, Civil unrest or violence, Crop Insect/disease outbreak, Fire, Flood/typhoon, Drought",36.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,18.0,17.0,10.0,4020.0,4017.0,4013.0,8.0,24.0,40.0
102030607.0,1020306073.0,24.0,16.0,56.0,1.0,85.0,"Earthquake/landslide, Famine, Epidemic, Civil unrest or violence, Crop Insect/disease outbreak, Fire, Flood/typhoon",36.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,12.0,5.0,4.0,2008.0,2012.0,0.0,8.0,24.0,48.0
102040708.0,1020407084.0,32.0,16.0,64.0,3.0,92.0,"Drought, Earthquake/landslide, Famine, Epidemic, Civil unrest or violence, Crop Insect/disease outbreak, Fire",36.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,8.0,9.0,0.0,4024.0,4021.0,2008.0,8.0,32.0,56.0
103050809.0,1030508091.0,8.0,24.0,72.0,2.0,50.0,"Flood/typhoon, Drought, Earthquake/landslide, Famine, Epidemic, Civil unrest or violence, Crop Insect/disease outbreak",36.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,19.0,12.0,6.0,2008.0,0.0,0.0,8.0,40.0,64.0
103060910.0,1030609102.0,16.0,24.0,80.0,2.0,20.0,"Fire, Flood/typhoon, Drought, Earthquake/landslide, Famine, Epidemic, Civil unrest or violence, Crop Insect/disease outbreak",36.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,21.0,6.0,7.0,2008.0,0.0,0.0,8.0,48.0,72.0
103061011.0,1030610113.0,24.0,24.0,88.0,0.0,0.0,"Fire, Flood/typhoon, Drought, Earthquake/landslide, Famine, Epidemic, Civil unrest or violence",36.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,8.0,48.0,80.0
103071112.0,1030711124.0,32.0,24.0,96.0,0.0,0.0,"Crop Insect/disease outbreak, Fire, Flood/typhoon, Drought, Earthquake/landslide, Famine, Epidemic",36.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,23.0,14.0,0.0,0.0,0.0,0.0,8.0,56.0,88.0
104081213.0,1040812131.0,8.0,32.0,104.0,0.0,0.0,"Civil unrest or violence, Crop Insect/disease outbreak, Fire, Flood/typhoon, Drought, Earthquake/landslide, Famine",36.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,9.0,0.0,0.0,0.0,0.0,8.0,64.0,96.0
104081314.0,1040813142.0,16.0,32.0,112.0,2.0,170.0,"Epidemic, Civil unrest or violence, Crop Insect/disease outbreak, Fire, Flood/typhoon, Drought, Earthquake/landslide",36.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,6.0,5.0,7.0,4017.0,2009.0,2010.0,8.0,64.0,104.0
104081415.0,1040814153.0,24.0,32.0,120.0,4.0,130.0,"Famine, Epidemic, Civil unrest or violence, Crop Insect/disease outbreak, Fire, Flood/typhoon, Drought",36.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4021.0,2010.0,2009.0,8.0,64.0,112.0
104091516.0,1040915164.0,32.0,32.0,128.0,0.0,0.0,"Earthquake/landslide, Famine, Epidemic, Civil unrest or violence, Crop Insect/disease outbreak, Fire, Flood/typhoon",36.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,7.0,10.0,0.0,0.0,0.0,0.0,8.0,72.0,120.0
105101617.0,1051016171.0,8.0,40.0,136.0,2.0,50.0,"Drought, Earthquake/landslide, Famine, Epidemic, Civil unrest or violence, Crop Insect/disease outbreak, Fire",36.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,9.0,8.0,0.0,2007.0,2007.0,0.0,8.0,80.0,128.0
105101718.0,1051017182.0,16.0,40.0,144.0,0.0,0.0,"Flood/typhoon, Drought, Earthquake/landslide, Famine, Epidemic, Civil unrest or violence, Crop Insect/disease outbreak",36.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,8.0,80.0,136.0
105111819.0,1051118193.0,24.0,40.0,152.0,0.0,0.0,"Fire, Flood/typhoon, Drought, Earthquake/landslide, Famine, Epidemic, Civil unrest or violence, Crop Insect/disease outbreak",36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,88.0,144.0
105121920.0,1051219204.0,32.0,40.0,160.0,0.0,0.0,"Fire, Flood/typhoon, Drought, Earthquake/landslide, Famine, Epidemic, Civil unrest or violence",36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,96.0,152.0
106132021.0,1061320211.0,8.0,48.0,168.0,0.0,0.0,"Crop Insect/disease outbreak, Fire, Flood/typhoon, Drought, Earthquake/landslide, Famine, Epidemic",36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,104.0,160.0
106132122.0,1061321222.0,16.0,48.0,176.0,0.0,0.0,"Civil unrest or violence, Crop Insect/disease outbreak, Fire, Flood/typhoon, Drought, Earthquake/landslide, Famine",36.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,8.0,104.0,168.0
106142223.0,1061422233.0,24.0,48.0,184.0,1.0,60.0,"Epidemic, Civil unrest or violence, Crop Insect/disease outbreak, Fire, Flood/typhoon, Drought, Earthquake/landslide",36.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,0.0,0.0,8.0,112.0,176.0
106142324.0,1061423244.0,32.0,48.0,192.0,3.0,130.0,"Famine, Epidemic, Civil unrest or violence, Crop Insect/disease outbreak, Fire, Flood/typhoon, Drought",36.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,10.0,11.0,1.0,4020.0,0.0,0.0,8.0,112.0,184.0
107152425.0,1071524251.0,8.0,56.0,200.0,2.0,60.0,"Earthquake/landslide, Famine, Epidemic, Civil unrest or violence, Crop Insect/disease outbreak, Fire, Flood/typhoon",36.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,8.0,10.0,3.0,2012.0,2009.0,0.0,8.0,120.0,192.0
107162526.0,1071625262.0,16.0,56.0,208.0,0.0,0.0,"Drought, Earthquake/landslide, Famine, Epidemic, Civil unrest or violence, Crop Insect/disease outbreak, Fire",36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,128.0,200.0
107162627.0,1071626273.0,24.0,56.0,216.0,3.0,100.0,"Flood/typhoon, Drought, Earthquake/landslide, Famine, Epidemic, Civil unrest or violence, Crop Insect/disease outbreak, RAIN",36.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,16.0,17.0,12.0,4022.0,4020.0,4018.0,8.0,128.0,208.0
107172728.0,1071727284.0,32.0,56.0,224.0,4.0,220.0,"Fire, Flood/typhoon, Drought, Earthquake/landslide, Famine, Epidemic, Civil unrest or violence, Crop Insect/disease outbreak",36.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,2.0,8.0,9.0,10.0,6034.0,4019.0,0.0,8.0,136.0,216.0
108182829.0,1081828291.0,8.0,64.0,232.0,3.0,130.0,"Fire, Flood/typhoon, Drought, Earthquake/landslide, Famine, Epidemic, Civil unrest or violence",36.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,5.0,6.0,7.0,4018.0,2010.0,2011.0,8.0,144.0,224.0
108192930.0,1081929302.0,18.0,72.0,270.0,2.0,155.0,"Crop Insect/disease outbreak, Fire, Flood/typhoon, Drought, Earthquake/landslide, Famine, Epidemic, Civil unrest or violence",45.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,14.0,16.0,20.0,4019.0,0.0,0.0,9.0,171.0,261.0
108203031.0,1082030313.0,24.0,64.0,248.0,1.0,80.0,"Crop Insect/disease outbreak, Fire, Flood/typhoon, Drought, Earthquake/landslide, Famine, Epidemic",36.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2005.0,0.0,0.0,8.0,160.0,240.0
108213132.0,1082131324.0,32.0,64.0,256.0,4.0,173.0,"Civil unrest or violence, Crop Insect/disease outbreak, Fire, Flood/typhoon, Drought, Earthquake/landslide, Famine",36.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,15.0,11.0,12.0,6033.0,2010.0,2009.0,8.0,168.0,248.0
109223233.0,1092232331.0,8.0,72.0,264.0,0.0,0.0,"Epidemic, Civil unrest or violence, Crop Insect/disease outbreak, Fire, Flood/typhoon, Drought, Earthquake/landslide",36.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,176.0,256.0
109223334.0,1092233342.0,16.0,72.0,272.0,3.0,75.0,"Famine, Epidemic, Civil unrest or violence, Crop Insect/disease outbreak, RAIN, Fire, Flood/typhoon, Drought",36.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,16.0,9.0,0.0,4021.0,2011.0,0.0,8.0,176.0,264.0
109233435.0,1092334353.0,24.0,72.0,280.0,1.0,75.0,"Earthquake/landslide, Famine, Epidemic, Civil unrest or violence, Crop Insect/disease outbreak, Fire, Flood/typhoon",36.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,2011.0,2009.0,0.0,8.0,184.0,272.0
109233536.0,1092335364.0,32.0,72.0,288.0,1.0,80.0,"Drought, Earthquake/landslide, Famine, Epidemic, Civil unrest or violence, Crop Insect/disease outbreak, Fire",36.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,0.0,0.0,8.0,184.0,280.0
110243637.0,1102436371.0,8.0,80.0,296.0,2.0,140.0,"Flood/typhoon, Drought, Earthquake/landslide, Famine, Epidemic, Civil unrest or violence, Crop Insect/disease outbreak, RAIN",36.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,4017.0,0.0,0.0,8.0,192.0,288.0
110243738.0,1102437382.0,16.0,80.0,304.0,3.0,100.0,"Fire, Flood/typhoon, Drought, Earthquake/landslide, Famine, Epidemic, Civil unrest or violence, Crop Insect/disease outbreak",36.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4019.0,2010.0,2009.0,8.0,192.0,296.0
110243839.0,1102438393.0,24.0,80.0,312.0,2.0,90.0,"Fire, Flood/typhoon, Drought, Earthquake/landslide, Famine, Epidemic, Civil unrest or violence",36.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,4017.0,0.0,0.0,8.0,192.0,304.0
110253940.0,1102539404.0,32.0,80.0,320.0,1.0,50.0,"Crop Insect/disease outbreak, Fire, Flood/typhoon, Drought, Earthquake/landslide, Famine, Epidemic",36.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,24.0,13.0,0.0,2010.0,0.0,0.0,8.0,200.0,312.0
111264041.0,1112640411.0,8.0,88.0,328.0,0.0,0.0,"Civil unrest or violence, Crop Insect/disease outbreak, Fire, Flood/typhoon, Drought, Earthquake/landslide, Famine",36.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,8.0,208.0,320.0
111274142.0,1112741422.0,16.0,88.0,336.0,0.0,0.0,"Epidemic, Civil unrest or violence, Crop Insect/disease outbreak, Fire, Flood/typhoon, Drought, Earthquake/landslide",36.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,8.0,216.0,328.0
111274243.0,1112742433.0,24.0,88.0,344.0,0.0,0.0,"Famine, Epidemic, Civil unrest or violence, Crop Insect/disease outbreak, Fire, Flood/typhoon, Drought",36.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,8.0,216.0,336.0
111284344.0,1112843444.0,32.0,88.0,352.0,2.0,20.0,"Earthquake/landslide, Famine, Epidemic, Civil unrest or violence, Crop Insect/disease outbreak, Fire, Flood/typhoon",36.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,2008.0,2009.0,2011.0,8.0,224.0,344.0
112294445.0,1122944451.0,8.0,96.0,360.0,3.0,75.0,"Drought, Earthquake/landslide, Famine, Epidemic, Civil unrest or violence, Crop Insect/disease outbreak, Fire",36.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,4022.0,4020.0,4018.0,8.0,232.0,352.0
112304546.0,1123045462.0,16.0,96.0,368.0,2.0,5.0,"Flood/typhoon, Drought, Earthquake/landslide, Famine, Epidemic, Civil unrest or violence, Crop Insect/disease outbreak",36.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,1.0,2.0,2011.0,2010.0,2009.0,8.0,240.0,360.0
112304647.0,1123046473.0,24.0,96.0,376.0,4.0,40.0,"Fire, Flood/typhoon, Drought, Earthquake/landslide, Famine, Epidemic, Civil unrest or violence, Crop Insect/disease outbreak",36.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,9.0,15.0,7.0,4021.0,2010.0,2009.0,8.0,240.0,368.0
112314748.0,1123147484.0,36.0,108.0,432.0,4.0,20.0,"Fire, Flood/typhoon, Drought, Earthquake/landslide, Famine, Epidemic, Civil unrest or violence, Crop Insect/disease outbreak",45.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4020.0,2009.0,2008.0,9.0,279.0,423.0
213324849.0,2133248491.0,8.0,104.0,392.0,1.0,100.0,"Fire, Flood/typhoon, Drought, Earthquake/landslide, Famine, Epidemic, Civil unrest or violence",36.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,0.0,0.0,16.0,256.0,384.0
213324950.0,2133249502.0,16.0,104.0,400.0,2.0,100.0,"Crop Insect/disease outbreak, Fire, Flood/typhoon, Drought, Earthquake/landslide, Famine, Epidemic",36.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,2010.0,0.0,16.0,256.0,392.0
213324952.0,2133249523.0,24.0,104.0,416.0,2.0,100.0,"Civil unrest or violence, Crop Insect/disease outbreak, Fire, Flood/typhoon, Drought, Earthquake/landslide, Famine",36.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,2010.0,0.0,16.0,256.0,392.0
213335051.0,2133351514.0,32.0,104.0,408.0,4.0,330.0,"Epidemic, Civil unrest or violence, Crop Insect/disease outbreak, Fire, Flood/typhoon, Drought, Earthquake/landslide",36.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8038.0,2010.0,0.0,16.0,264.0,400.0
214345253.0,2143452531.0,8.0,112.0,424.0,0.0,0.0,"Famine, Epidemic, Civil unrest or violence, Crop Insect/disease outbreak, Fire, Flood/typhoon, Drought",36.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,16.0,272.0,416.0
214355354.0,2143553542.0,16.0,112.0,432.0,3.0,175.0,"Earthquake/landslide, Famine, Epidemic, Civil unrest or violence, Crop Insect/disease outbreak, Fire, Flood/typhoon",36.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4021.0,0.0,0.0,16.0,280.0,424.0
214365455.0,2143654553.0,24.0,112.0,440.0,0.0,0.0,"Drought, Earthquake/landslide, Famine, Epidemic, Civil unrest or violence, Crop Insect/disease outbreak, Fire",36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,288.0,432.0
214375556.0,2143755564.0,32.0,112.0,448.0,1.0,100.0,"Flood/typhoon, Drought, Earthquake/landslide, Famine, Epidemic, Civil unrest or violence, Crop Insect/disease outbreak",36.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2010.0,2007.0,0.0,16.0,296.0,440.0
215385657.0,2153856571.0,8.0,120.0,456.0,1.0,95.0,"Fire, Flood/typhoon, Drought, Earthquake/landslide, Famine, Epidemic, Civil unrest or violence, Crop Insect/disease outbreak",36.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,0.0,0.0,16.0,304.0,448.0
215395758.0,2153957582.0,16.0,120.0,464.0,2.0,110.0,"Fire, Flood/typhoon, Drought, Earthquake/landslide, Famine, Epidemic, Civil unrest or violence",36.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4018.0,2010.0,0.0,16.0,312.0,456.0
215395859.0,2153958593.0,24.0,120.0,472.0,2.0,110.0,"Crop Insect/disease outbreak, Fire, Flood/typhoon, Drought, Earthquake/landslide, Famine, Epidemic",36.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,7.0,8.0,0.0,4018.0,2010.0,0.0,16.0,312.0,464.0
215405960.0,2154059604.0,32.0,120.0,480.0,1.0,95.0,"Civil unrest or violence, Crop Insect/disease outbreak, Fire, Flood/typhoon, Drought, Earthquake/landslide, Famine",36.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,8.0,0.0,2011.0,2010.0,0.0,16.0,320.0,472.0
216416061.0,2164160611.0,8.0,128.0,488.0,5.0,180.0,"Epidemic, Civil unrest or violence, Crop Insect/disease outbreak, Fire, Flood/typhoon, Drought, Earthquake/landslide",36.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,25.0,28.0,0.0,6029.0,2011.0,0.0,16.0,328.0,480.0
216416162.0,2164161622.0,16.0,128.0,496.0,1.0,100.0,"Famine, Epidemic, Civil unrest or violence, Crop Insect/disease outbreak, Fire, Flood/typhoon, Drought",36.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,2010.0,0.0,0.0,16.0,328.0,488.0
216426263.0,2164262633.0,24.0,128.0,504.0,0.0,0.0,"Earthquake/landslide, Famine, Epidemic, Civil unrest or violence, Crop Insect/disease outbreak, Fire, Flood/typhoon",36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,336.0,496.0
