CID,CnV_PM_Y,CnV_NoPM_y,CnV_MVM_y,CnV_NoMVM_y,CnV_MurdM_y,CnV_NoMurdM_y,CnV_TAM_y,CnV_NoTAM_y,CnV_Pro_ID,CnV_ProtStart_m,CnV_ProtStart_y,CnV_Pro_Motiv,CnV_Pro_NoPart,CnV_ProDura_d,CnV_Pro_Viol,CnV_Pro_NoI,CnV_Pro_NoF,CnV_Murd_ID,CnV_Murd_m,CnV_Murd_y,CnV_Murd_NoK,CnV_Murd_Res
215395758,1.0,2.0,0.0,,0.0,,0.0,,,,,,,,,,,,,,,
213324952,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,
102030405,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,
105111819,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,
105121920,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,
107162526,1.0,2.0,0.0,,1.0,2.0,0.0,,,,,,,,,,,,,,,
104081415,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,
104091516,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,
101010101,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,
217446566,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,
318466970,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,
318467172,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,
217456768,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,
112314748,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,
213324950,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,
213324849,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,
112304546,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,
217446465,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,
214345253,1.0,5.0,0.0,,0.0,,0.0,,,,,,,,,,,,,,,
215395859,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,
215405960,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,
318466869,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,
214365455,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,
217446667,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,
104081213,0.0,,0.0,,1.0,1.0,0.0,,,,,,,,,,,,,,,
101020304,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,
104081314,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,
102030607,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,
102040708,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,
102030506,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,
106132021,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,
112304647,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,
103050809,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,
105101718,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,
110243839,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,
110243738,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,
109233435,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,
110253940,0.0,,0.0,,1.0,1.0,0.0,,,,,,,,,,,,,,,
216416061,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,
216416162,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,
216426263,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,
214375556,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,
318467071,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,
319477273,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,
107152425,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,
319487476,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,
108203031,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,
108213132,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,
109223233,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,
109233536,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,
111274142,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,
111274243,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,
106132122,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,
319477274,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,
106142223,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,
215385657,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,
111264041,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,
103060910,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,
103071112,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,
213335051,1.0,5.0,0.0,,0.0,,0.0,,,,,,,,,,,,,,,
112294445,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,
101010203,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,
103061011,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,
101010202,1.0,1.0,0.0,,0.0,,0.0,,,,,,,,,,,,,,,
110243637,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,
109223334,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,
319477375,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,
108192930,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,
108182829,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,
106142324,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,
111284344,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,
105101617,0.0,,0.0,,1.0,1.0,0.0,,,,,,,,,,,,,,,
216436364,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,
215395758,,,,,,,,,1.0,6.0,2013.0,4.0,1200.0,1.0,0.0,,,,,,,
215395758,,,,,,,,,2.0,8.0,2013.0,4.0,300.0,1.0,0.0,,,,,,,
107162526,,,,,,,,,1.0,6.0,2013.0,1.0,90.0,1.0,0.0,,,,,,,
107162526,,,,,,,,,2.0,3.0,2014.0,5.0,800.0,12.0,0.0,,,,,,,
214345253,,,,,,,,,1.0,6.0,2013.0,3.0,1000.0,12.0,0.0,,,,,,,
213335051,,,,,,,,,1.0,2.0,2013.0,1.0,400.0,1.0,0.0,,,,,,,
213335051,,,,,,,,,2.0,4.0,2013.0,1.0,300.0,1.0,0.0,,,,,,,
213335051,,,,,,,,,3.0,7.0,2013.0,1.0,430.0,1.0,0.0,,,,,,,
213335051,,,,,,,,,4.0,10.0,2013.0,1.0,500.0,1.0,0.0,,,,,,,
213335051,,,,,,,,,5.0,4.0,2014.0,1.0,480.0,1.0,0.0,,,,,,,
101010202,,,,,,,,,1.0,9.0,2013.0,4.0,50.0,2.0,0.0,,,,,,,
107162526,,,,,,,,,,,,,,,,,,1.0,11.0,2013.0,1.0,1.0
107162526,,,,,,,,,,,,,,,,,,2.0,3.0,2014.0,1.0,1.0
104081213,,,,,,,,,,,,,,,,,,1.0,12.0,2013.0,1.0,4.0
110253940,,,,,,,,,,,,,,,,,,1.0,5.0,2013.0,1.0,3.0
105101617,,,,,,,,,,,,,,,,,,1.0,3.0,2014.0,1.0,4.0
