CID,HF_ID,HF_Type,HF_Status,HF_Imune,HF_Dia,HF_FPS,HF_DoBabies,HF_ANC,HF_MT,HF_MS,HF_MI,HF_TMInj,HF_EOC,HF_PNC,HF_SupA_Med,HF_SupA_MedEqp,HF_SupA_MedPers
101010101,1,Basic Health Unit,3,,,,,,,,,,0.0,0.0,1.0,1.0,1.0
101010101,2,Rural Health Center,3,,,,,,,,,,,,,,
101010101,3,Clinic,3,,,,,,,,,,1.0,1.0,1.0,1.0,1.0
101010101,4,Dispensary/pharmacy,3,,,,,,,,,,,,,,
101010101,5,Private Medical Practitioner,3,,,,,,,,,,0.0,0.0,1.0,1.0,1.0
101010101,6,Hospital,3,,,,,,,,,,,,,,
101010101,7,Blood Bank,3,,,,,,,,,,0.0,0.0,1.0,1.0,1.0
101010202,1,Basic Health Unit,3,,,,,,,,,,1.0,1.0,1.0,1.0,1.0
101010202,2,Rural Health Center,3,,,,,,,,,,,,,,
101010202,3,Clinic,3,,,,,,,,,,,,,,
101010202,4,Dispensary/pharmacy,3,,,,,,,,,,,,,,
101010202,5,Private Medical Practitioner,3,,,,,,,,,,,,,,
101010202,6,Hospital,3,,,,,,,,,,,,,,
101010202,7,Blood Bank,3,,,,,,,,,,,,,,
101010203,1,Basic Health Unit,3,,,,,,,,,,,,,,
101010203,2,Rural Health Center,3,,,,,,,,,,,,,,
101010203,3,Clinic,3,,,,,,,,,,,,,,
101010203,4,Dispensary/pharmacy,3,,,,,,,,,,,,,,
101010203,5,Private Medical Practitioner,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,,,,,
101010203,6,Hospital,3,,,,,,,,,,,,,,
101010203,7,Blood Bank,3,,,,,,,,,,,,,,
101020304,1,Basic Health Unit,3,,,,,,,,,,,,,,
101020304,2,Rural Health Center,3,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
101020304,3,Clinic,3,,,,,,,,,,,,,,
101020304,4,Dispensary/pharmacy,3,,,,,,,,,,,,,,
101020304,5,Private Medical Practitioner,3,,,,,,,,,,,,,,
101020304,6,Hospital,3,,,,,,,,,,,,,,
101020304,7,Blood Bank,3,,,,,,,,,,,,,,
102030405,1,Basic Health Unit,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
102030405,2,Rural Health Center,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
102030405,3,Clinic,1,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,,,,,
102030405,4,Dispensary/pharmacy,1,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,
102030405,5,Private Medical Practitioner,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
102030405,6,Hospital,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
102030405,7,Blood Bank,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
102030506,1,Basic Health Unit,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
102030506,2,Rural Health Center,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
102030506,3,Clinic,1,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
102030506,4,Dispensary/pharmacy,1,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
102030506,5,Private Medical Practitioner,1,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
102030506,6,Hospital,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
102030506,7,Blood Bank,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
102030607,1,Basic Health Unit,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
102030607,2,Rural Health Center,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
102030607,3,Clinic,1,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
102030607,4,Dispensary/pharmacy,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
102030607,5,Private Medical Practitioner,1,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
102030607,6,Hospital,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
102030607,7,Blood Bank,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
102040708,1,Basic Health Unit,2,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,
102040708,2,Rural Health Center,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
102040708,3,Clinic,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
102040708,4,Dispensary/pharmacy,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
102040708,5,Private Medical Practitioner,1,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,
102040708,6,Hospital,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
102040708,7,Blood Bank,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
103050809,1,Basic Health Unit,3,,,,,,,,,,,,,,
103050809,2,Rural Health Center,3,,,,,,,,,,,,,,
103050809,3,Clinic,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
103050809,4,Dispensary/pharmacy,3,,,,,,,,,,,,,,
103050809,5,Private Medical Practitioner,3,,,,,,,,,,0.0,0.0,1.0,0.0,1.0
103050809,6,Hospital,3,,,,,,,,,,,,,,
103050809,7,Blood Bank,3,,,,,,,,,,0.0,0.0,1.0,0.0,1.0
103060910,1,Basic Health Unit,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
103060910,2,Rural Health Center,3,,,,,,,,,,,,,,
103060910,3,Clinic,3,,,,,,,,,,,,,,
103060910,4,Dispensary/pharmacy,3,,,,,,,,,,,,,,
103060910,5,Private Medical Practitioner,3,,,,,,,,,,,,,,
103060910,6,Hospital,3,,,,,,,,,,,,,,
103060910,7,Blood Bank,3,,,,,,,,,,,,,,
103061011,1,Basic Health Unit,3,,,,,,,,,,,,,,
103061011,2,Rural Health Center,3,,,,,,,,,,,,,,
103061011,3,Clinic,3,,,,,,,,,,0.0,0.0,1.0,1.0,1.0
103061011,4,Dispensary/pharmacy,3,,,,,,,,,,,,,,
103061011,5,Private Medical Practitioner,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,
103061011,6,Hospital,3,,,,,,,,,,,,,,
103061011,7,Blood Bank,3,,,,,,,,,,1.0,1.0,1.0,1.0,1.0
103071112,1,Basic Health Unit,3,,,,,,,,,,,,,,
103071112,2,Rural Health Center,3,,,,,,,,,,,,,,
103071112,3,Clinic,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
103071112,4,Dispensary/pharmacy,3,,,,,,,,,,,,,,
103071112,5,Private Medical Practitioner,3,,,,,,,,,,,,,,
103071112,6,Hospital,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
103071112,7,Blood Bank,3,,,,,,,,,,,,,,
104081213,1,Basic Health Unit,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
104081213,2,Rural Health Center,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
104081213,3,Clinic,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,,,,
104081213,4,Dispensary/pharmacy,1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,
104081213,5,Private Medical Practitioner,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
104081213,6,Hospital,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
104081213,7,Blood Bank,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
104081314,1,Basic Health Unit,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
104081314,2,Rural Health Center,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
104081314,3,Clinic,2,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,,,,
104081314,4,Dispensary/pharmacy,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,,,,
104081314,5,Private Medical Practitioner,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
104081314,6,Hospital,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
104081314,7,Blood Bank,3,,,,,,,,,,,,,,
104081415,1,Basic Health Unit,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
104081415,2,Rural Health Center,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
104081415,3,Clinic,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
104081415,4,Dispensary/pharmacy,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
104081415,5,Private Medical Practitioner,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
104081415,6,Hospital,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
104081415,7,Blood Bank,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
104091516,1,Basic Health Unit,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
104091516,2,Rural Health Center,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
104091516,3,Clinic,2,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,,,,,
104091516,4,Dispensary/pharmacy,1,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,,,,,
104091516,5,Private Medical Practitioner,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
104091516,6,Hospital,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
104091516,7,Blood Bank,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
105101617,1,Basic Health Unit,3,,,,,,,,,,,,,,
105101617,2,Rural Health Center,3,,,,,,,,,,,,,,
105101617,3,Clinic,3,,,,,,,,,,,,,,
105101617,4,Dispensary/pharmacy,3,,,,,,,,,,,,,,
105101617,5,Private Medical Practitioner,3,,,,,,,,,,,,,,
105101617,6,Hospital,3,,,,,,,,,,,,,,
105101617,7,Blood Bank,3,,,,,,,,,,,,,,
105101718,1,Basic Health Unit,3,,,,,,,,,,,,,,
105101718,2,Rural Health Center,3,,,,,,,,,,,,,,
105101718,3,Clinic,3,,,,,,,,,,,,,,
105101718,4,Dispensary/pharmacy,3,,,,,,,,,,,,,,
105101718,5,Private Medical Practitioner,3,,,,,,,,,,,,,,
105101718,6,Hospital,3,,,,,,,,,,,,,,
105101718,7,Blood Bank,3,,,,,,,,,,,,,,
105111819,1,Basic Health Unit,3,,,,,,,,,,,,,,
105111819,2,Rural Health Center,3,,,,,,,,,,,,,,
105111819,3,Clinic,3,,,,,,,,,,,,,,
105111819,4,Dispensary/pharmacy,3,,,,,,,,,,,,,,
105111819,5,Private Medical Practitioner,3,,,,,,,,,,,,,,
105111819,6,Hospital,3,,,,,,,,,,,,,,
105111819,7,Blood Bank,3,,,,,,,,,,,,,,
105121920,1,Basic Health Unit,3,,,,,,,,,,,,,,
105121920,2,Rural Health Center,3,,,,,,,,,,,,,,
105121920,3,Clinic,3,,,,,,,,,,,,,,
105121920,4,Dispensary/pharmacy,3,,,,,,,,,,,,,,
105121920,5,Private Medical Practitioner,3,,,,,,,,,,0.0,0.0,1.0,0.0,0.0
105121920,6,Hospital,3,,,,,,,,,,,,,,
105121920,7,Blood Bank,3,,,,,,,,,,,,,,
106132021,1,Basic Health Unit,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
106132021,2,Rural Health Center,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
106132021,3,Clinic,1,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,,,,,
106132021,4,Dispensary/pharmacy,1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
106132021,5,Private Medical Practitioner,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
106132021,6,Hospital,3,,,,,,,,,,1.0,1.0,1.0,0.0,0.0
106132021,7,Blood Bank,3,,,,,,,,,,,,,,
106132122,1,Basic Health Unit,3,,,,,,,,,,,,,,
106132122,2,Rural Health Center,3,,,,,,,,,,1.0,1.0,1.0,1.0,1.0
106132122,3,Clinic,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
106132122,4,Dispensary/pharmacy,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
106132122,5,Private Medical Practitioner,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
106132122,6,Hospital,3,,,,,,,,,,,,,,
106132122,7,Blood Bank,3,,,,,,,,,,,,,,
106142223,1,Basic Health Unit,3,,,,,,,,,,,,,,
106142223,2,Rural Health Center,3,,,,,,,,,,,,,,
106142223,3,Clinic,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,
106142223,4,Dispensary/pharmacy,3,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
106142223,5,Private Medical Practitioner,3,,,,,,,,,,,,,,
106142223,6,Hospital,3,,,,,,,,,,,,,,
106142223,7,Blood Bank,3,,,,,,,,,,,,,,
106142324,1,Basic Health Unit,3,,,,,,,,,,,,,,
106142324,2,Rural Health Center,3,,,,,,,,,,,,,,
106142324,3,Clinic,1,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,
106142324,4,Dispensary/pharmacy,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
106142324,5,Private Medical Practitioner,1,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,
106142324,6,Hospital,3,,,,,,,,,,,,,,
106142324,7,Blood Bank,3,,,,,,,,,,,,,,
107152425,1,Basic Health Unit,3,,,,,,,,,,,,,,
107152425,2,Rural Health Center,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
107152425,3,Clinic,1,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,
107152425,4,Dispensary/pharmacy,1,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,
107152425,5,Private Medical Practitioner,1,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,
107152425,6,Hospital,3,,,,,,,,,,,,,,
107152425,7,Blood Bank,3,,,,,,,,,,,,,,
107152627,1,Basic Health Unit,1,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,,,,,
107152627,2,Rural Health Center,3,,,,,,,,,,,,,,
107152627,3,Clinic,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,
107152627,4,Dispensary/pharmacy,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,
107152627,5,Private Medical Practitioner,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
107152627,6,Hospital,3,,,,,,,,,,,,,,
107152627,7,Blood Bank,3,,,,,,,,,,,,,,
107162526,1,Basic Health Unit,3,,,,,,,,,,0.0,0.0,1.0,0.0,1.0
107162526,2,Rural Health Center,3,,,,,,,,,,0.0,0.0,1.0,1.0,1.0
107162526,3,Clinic,3,,,,,,,,,,,,,,
107162526,4,Dispensary/pharmacy,3,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
107162526,5,Private Medical Practitioner,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,
107162526,6,Hospital,3,,,,,,,,,,,,,,
107162526,7,Blood Bank,3,,,,,,,,,,,,,,
107172728,1,Basic Health Unit,3,,,,,,,,,,,,,,
107172728,2,Rural Health Center,3,,,,,,,,,,,,,,
107172728,3,Clinic,3,,,,,,,,,,,,,,
107172728,4,Dispensary/pharmacy,3,,,,,,,,,,,,,,
107172728,5,Private Medical Practitioner,3,,,,,,,,,,,,,,
107172728,6,Hospital,3,,,,,,,,,,,,,,
107172728,7,Blood Bank,3,,,,,,,,,,,,,,
108182829,1,Basic Health Unit,3,,,,,,,,,,,,,,
108182829,2,Rural Health Center,3,,,,,,,,,,,,,,
108182829,3,Clinic,3,,,,,,,,,,,,,,
108182829,4,Dispensary/pharmacy,3,,,,,,,,,,0.0,0.0,1.0,0.0,1.0
108182829,5,Private Medical Practitioner,3,,,,,,,,,,,,,,
108182829,6,Hospital,3,,,,,,,,,,,,,,
108182829,7,Blood Bank,3,,,,,,,,,,,,,,
108192930,1,Basic Health Unit,3,,,,,,,,,,,,,,
108192930,2,Rural Health Center,3,,,,,,,,,,,,,,
108192930,3,Clinic,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,
108192930,4,Dispensary/pharmacy,3,,,,,,,,,,,,,,
108192930,5,Private Medical Practitioner,3,,,,,,,,,,,,,,
108192930,6,Hospital,3,,,,,,,,,,,,,,
108192930,7,Blood Bank,3,,,,,,,,,,0.0,0.0,1.0,1.0,1.0
108203031,1,Basic Health Unit,3,,,,,,,,,,0.0,0.0,1.0,0.0,1.0
108203031,2,Rural Health Center,3,,,,,,,,,,,,,,
108203031,3,Clinic,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,
108203031,4,Dispensary/pharmacy,3,,,,,,,,,,,,,,
108203031,5,Private Medical Practitioner,3,,,,,,,,,,,,,,
108203031,6,Hospital,3,,,,,,,,,,,,,,
108203031,7,Blood Bank,3,,,,,,,,,,0.0,0.0,1.0,0.0,1.0
108213132,1,Basic Health Unit,3,,,,,,,,,,,,,,
108213132,2,Rural Health Center,3,,,,,,,,,,,,,,
108213132,3,Clinic,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,
108213132,4,Dispensary/pharmacy,3,,,,,,,,,,,,,,
108213132,5,Private Medical Practitioner,3,,,,,,,,,,,,,,
108213132,6,Hospital,3,,,,,,,,,,,,,,
108213132,7,Blood Bank,3,,,,,,,,,,,,,,
109223233,1,Basic Health Unit,3,,,,,,,,,,,,,,
109223233,2,Rural Health Center,3,,,,,,,,,,,,,,
109223233,3,Clinic,3,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
109223233,4,Dispensary/pharmacy,3,,,,,,,,,,,,,,
109223233,5,Private Medical Practitioner,3,,,,,,,,,,,,,,
109223233,6,Hospital,3,,,,,,,,,,,,,,
109223233,7,Blood Bank,3,,,,,,,,,,,,,,
109223334,1,Basic Health Unit,3,,,,,,,,,,,,,,
109223334,2,Rural Health Center,3,,,,,,,,,,,,,,
109223334,3,Clinic,3,,,,,,,,,,,,,,
109223334,4,Dispensary/pharmacy,3,,,,,,,,,,,,,,
109223334,5,Private Medical Practitioner,3,,,,,,,,,,,,,,
109223334,6,Hospital,3,,,,,,,,,,,,,,
109223334,7,Blood Bank,3,,,,,,,,,,,,,,
109233435,1,Basic Health Unit,3,,,,,,,,,,,,,,
109233435,2,Rural Health Center,3,,,,,,,,,,,,,,
109233435,3,Clinic,3,,,,,,,,,,,,,,
109233435,4,Dispensary/pharmacy,3,,,,,,,,,,,,,,
109233435,5,Private Medical Practitioner,3,,,,,,,,,,,,,,
109233435,6,Hospital,3,,,,,,,,,,,,,,
109233435,7,Blood Bank,3,,,,,,,,,,,,,,
109233536,1,Basic Health Unit,3,,,,,,,,,,,,,,
109233536,2,Rural Health Center,3,,,,,,,,,,,,,,
109233536,3,Clinic,3,,,,,,,,,,,,,,
109233536,4,Dispensary/pharmacy,3,,,,,,,,,,,,,,
109233536,5,Private Medical Practitioner,3,,,,,,,,,,,,,,
109233536,6,Hospital,3,,,,,,,,,,,,,,
109233536,7,Blood Bank,3,,,,,,,,,,,,,,
110243637,1,Basic Health Unit,3,,,,,,,,,,,,,,
110243637,2,Rural Health Center,3,,,,,,,,,,,,,,
110243637,3,Clinic,3,,,,,,,,,,,,,,
110243637,4,Dispensary/pharmacy,3,,,,,,,,,,,,,,
110243637,5,Private Medical Practitioner,3,,,,,,,,,,,,,,
110243637,6,Hospital,3,,,,,,,,,,,,,,
110243637,7,Blood Bank,3,,,,,,,,,,,,,,
110243738,1,Basic Health Unit,3,,,,,,,,,,0.0,0.0,1.0,0.0,1.0
110243738,2,Rural Health Center,3,,,,,,,,,,,,,,
110243738,3,Clinic,3,,,,,,,,,,,,,,
110243738,4,Dispensary/pharmacy,3,,,,,,,,,,,,,,
110243738,5,Private Medical Practitioner,3,,,,,,,,,,,,,,
110243738,6,Hospital,3,,,,,,,,,,,,,,
110243738,7,Blood Bank,3,,,,,,,,,,,,,,
110243839,1,Basic Health Unit,3,,,,,,,,,,,,,,
110243839,2,Rural Health Center,3,,,,,,,,,,,,,,
110243839,3,Clinic,3,,,,,,,,,,,,,,
110243839,4,Dispensary/pharmacy,1,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,
110243839,5,Private Medical Practitioner,1,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,
110243839,6,Hospital,3,,,,,,,,,,,,,,
110243839,7,Blood Bank,3,,,,,,,,,,,,,,
110253940,1,Basic Health Unit,3,,,,,,,,,,,,,,
110253940,2,Rural Health Center,3,,,,,,,,,,0.0,0.0,1.0,0.0,1.0
110253940,3,Clinic,1,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,
110253940,4,Dispensary/pharmacy,3,,,,,,,,,,,,,,
